"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.171416680E-3,-3.418141937E0,6.363267517E0,5.211263123E0
1.218941667E-2,-3.090323639E0,6.461912384E0,5.483097839E0
2.220741667E-2,-2.685265961E0,6.518494720E0,5.995931396E0
3.222541667E-2,-2.166744232E0,6.450536041E0,6.501729584E0
4.224341667E-2,-1.814077606E0,6.392157440E0,6.877747650E0
5.226141667E-2,-1.625469818E0,6.315965881E0,7.094197540E0
6.227941667E-2,-1.580712891E0,6.132746887E0,7.200326843E0
7.229741667E-2,-1.786385193E0,5.917793884E0,7.267387390E0
8.231541667E-2,-2.012415161E0,5.808521118E0,7.426356812E0
9.233341667E-2,-2.055824890E0,5.667664032E0,7.621101837E0
1.023524167E-1,-2.039209442E0,5.666167145E0,7.802674255E0
1.123704167E-1,-2.094893646E0,5.767057343E0,7.948620758E0
1.223884167E-1,-2.078876953E0,6.020180969E0,7.996521149E0
1.324064167E-1,-2.038460999E0,6.234984283E0,7.853718109E0
1.424244167E-1,-1.984722748E0,6.397396545E0,7.531587982E0
1.524424167E-1,-1.933529205E0,6.531817017E0,7.198829956E0
1.624604167E-1,-1.898502045E0,6.606811066E0,7.022796021E0
1.724784167E-1,-1.838925934E0,6.583908691E0,6.985523529E0
1.824964167E-1,-1.784289551E0,6.496490479E0,7.013814697E0
1.925144167E-1,-1.735191650E0,6.415658569E0,7.129374390E0
2.025324167E-1,-1.589394836E0,6.298901367E0,7.288942566E0
2.125504167E-1,-1.455124054E0,6.253246307E0,7.352260895E0
2.225684167E-1,-1.476379852E0,6.181096344E0,7.381300507E0
2.325864167E-1,-1.655557251E0,6.184239807E0,7.449857941E0
2.426044167E-1,-1.719923401E0,6.203998718E0,7.552245026E0
2.526224167E-1,-1.673968964E0,6.163283386E0,7.598199463E0
2.626404167E-1,-1.586401062E0,6.142027588E0,7.517816620E0
2.726584167E-1,-1.529219971E0,6.203699341E0,7.417824554E0
2.826774167E-1,-1.423090668E0,6.173013153E0,7.301666107E0
2.926954167E-1,-1.367256775E0,6.127358093E0,7.262297974E0
3.027134167E-1,-1.319356384E0,6.104455719E0,7.324119415E0
3.127314167E-1,-1.262774048E0,6.089037781E0,7.344776459E0
3.227494167E-1,-1.268611908E0,6.154751129E0,7.358398132E0
3.327674167E-1,-1.250798950E0,6.256539459E0,7.438631287E0
3.427854167E-1,-1.315763855E0,6.339467010E0,7.541168060E0
3.528034167E-1,-1.436562653E0,6.366860046E0,7.630382538E0
