"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.612500000E-3,-3.515888672E0,6.899751892E0,5.577252045E0
1.263050000E-2,-3.327729950E0,6.903494110E0,5.806126099E0
2.264850000E-2,-3.160527649E0,6.815776520E0,6.020929413E0
3.266650000E-2,-3.190016327E0,6.731651459E0,6.101312256E0
4.268450000E-2,-3.437601471E0,6.708749084E0,6.080206146E0
5.270250000E-2,-3.551664276E0,6.596781921E0,6.185137939E0
6.272050001E-2,-3.603007507E0,6.483168182E0,6.322701874E0
7.273850001E-2,-3.695215759E0,6.478827209E0,6.432423706E0
8.275650001E-2,-3.641178131E0,6.572232971E0,6.637048187E0
9.277450001E-2,-3.441493378E0,6.641239471E0,6.956334229E0
1.027925000E-1,-3.057841187E0,6.593189392E0,7.308252411E0
1.128115000E-1,-2.794838104E0,6.464756470E0,7.532635803E0
1.228295000E-1,-2.636617126E0,6.127507782E0,7.611970825E0
1.328475000E-1,-2.732118530E0,6.016887817E0,7.538922729E0
1.428655000E-1,-2.984194336E0,6.224506073E0,7.741301880E0
1.528835000E-1,-2.837499390E0,6.343358917E0,7.834408264E0
1.629015000E-1,-2.716700592E0,6.296955414E0,7.720345459E0
1.729195000E-1,-2.649340668E0,6.311924286E0,7.484585724E0
1.829375000E-1,-2.473157043E0,6.381080475E0,7.201224976E0
1.929555000E-1,-2.362237701E0,6.469097443E0,6.897656250E0
2.029735000E-1,-2.275118866E0,6.578669586E0,6.740034027E0
2.129915000E-1,-2.272873535E0,6.625671844E0,6.792724457E0
2.230095000E-1,-2.229463806E0,6.568640442E0,6.998247070E0
2.330275000E-1,-2.100282440E0,6.297105103E0,7.213948517E0
2.430455000E-1,-2.092199249E0,5.998176727E0,7.364235992E0
2.530635000E-1,-2.050286407E0,5.782774658E0,7.442074127E0
2.630815000E-1,-1.852996674E0,5.767356720E0,7.474556580E0
2.730995000E-1,-1.600471802E0,5.896837463E0,7.519912262E0
2.831175000E-1,-1.349294128E0,6.088588715E0,7.670948181E0
2.931355000E-1,-1.096020813E0,6.175108795E0,7.880662079E0
3.031535000E-1,-8.310717773E-1,6.097719727E0,8.067623291E0
3.131715000E-1,-6.616241455E-1,5.879323883E0,8.103997650E0
3.231895000E-1,-4.290078735E-1,5.479654999E0,8.068970490E0
3.332075000E-1,-5.306465149E-1,5.524112549E0,8.132588196E0
3.432255000E-1,-9.954299927E-1,5.762566681E0,8.162376251E0
3.532435000E-1,-1.187031555E0,5.825435944E0,8.167765045E0
3.632615000E-1,-1.069525909E0,5.755980377E0,8.212821350E0
3.732795000E-1,-8.566685486E-1,5.678142242E0,8.271798706E0
3.832975000E-1,-7.541317749E-1,5.638175354E0,8.323141937E0
3.933155000E-1,-7.149133301E-1,5.670807495E0,8.403824158E0
4.033335000E-1,-6.656657410E-1,5.662873993E0,8.391998749E0
4.133515000E-1,-6.480024719E-1,5.580844574E0,8.278983765E0
4.233695000E-1,-7.544311523E-1,5.564528503E0,8.138725433E0
4.333875000E-1,-9.232800293E-1,5.687722321E0,8.116721191E0
4.434055000E-1,-1.037492523E0,5.799839172E0,8.059390411E0
4.534235000E-1,-1.116228790E0,5.791755981E0,7.855963440E0
4.634415000E-1,-9.268725586E-1,5.852529602E0,7.871980133E0
4.734595000E-1,-8.351133728E-1,5.899232483E0,7.769742737E0
4.834775000E-1,-7.869136047E-1,5.924679565E0,7.652536469E0
4.934955000E-1,-7.955955505E-1,5.914351044E0,7.569010162E0
5.035135000E-1,-8.113128662E-1,5.870641937E0,7.612868958E0
5.135315000E-1,-7.943980408E-1,5.846392365E0,7.691754913E0
5.235495000E-1,-7.418572998E-1,5.852080536E0,7.825426941E0
5.335675000E-1,-6.342311096E-1,5.770500183E0,7.957602081E0
5.435855000E-1,-5.757028198E-1,5.669310608E0,8.093818817E0
5.536045000E-1,-5.381309509E-1,5.580994263E0,8.257727966E0
5.636225000E-1,-6.831793213E-1,5.659880219E0,8.248447266E0
5.736405000E-1,-8.896000671E-1,5.831423492E0,8.241411896E0
5.836585000E-1,-8.271798706E-1,5.849685516E0,8.307873688E0
5.936765000E-1,-5.899232483E-1,5.834417267E0,8.325237579E0
6.036945000E-1,-3.897894287E-1,5.826184387E0,8.253686371E0
6.137125000E-1,-3.668870544E-1,5.773943024E0,8.170160065E0
6.237305000E-1,-4.499642944E-1,5.764512634E0,8.095465393E0
6.337485000E-1,-5.927673340E-1,5.723048859E0,8.064629517E0
6.437665000E-1,-6.809339905E-1,5.678441620E0,8.067772980E0
6.537845000E-1,-7.102729797E-1,5.661377106E0,8.086633759E0
6.638025000E-1,-6.839277649E-1,5.698799286E0,8.144862671E0
6.738205000E-1,-6.616241455E-1,5.755681000E0,8.107440491E0
6.838385000E-1,-5.839356995E-1,5.852529602E0,8.037236481E0
6.938565000E-1,-4.686753845E-1,5.929768982E0,8.023016052E0
7.038745000E-1,-3.243754578E-1,5.914650421E0,7.995173950E0
7.138925000E-1,-3.122506714E-1,5.855822754E0,7.955207062E0
7.239105000E-1,-3.426374817E-1,5.856571198E0,7.944579163E0
7.339285000E-1,-3.552113342E-1,5.869893494E0,7.947423248E0
7.439465000E-1,-3.576063538E-1,5.840554504E0,7.862100677E0
7.539645000E-1,-3.640429688E-1,5.750441895E0,7.777376862E0
7.639825000E-1,-4.245172119E-1,5.659880219E0,7.829767914E0
7.740005000E-1,-5.498066711E-1,5.619913330E0,8.012537842E0
7.840185000E-1,-5.760021973E-1,5.647456055E0,8.163124695E0
7.940365000E-1,-5.535488892E-1,5.686674500E0,8.164322205E0
8.040545000E-1,-5.156776428E-1,5.698200531E0,8.091423798E0
8.140725000E-1,-5.152285767E-1,5.765261078E0,7.975864105E0
8.240905000E-1,-5.269042969E-1,5.792055359E0,7.876321106E0
8.341085000E-1,-5.551954651E-1,5.786816254E0,7.813900909E0
8.441265000E-1,-5.418731689E-1,5.787115631E0,7.832013245E0
8.541445000E-1,-4.598437500E-1,5.788313141E0,7.902965698E0
8.641626250E-1,-4.523593140E-1,5.780229950E0,7.891289978E0
8.741806250E-1,-4.668791199E-1,5.734574890E0,7.831414490E0
8.841986250E-1,-4.760101318E-1,5.748945007E0,7.809410248E0
8.942166250E-1,-4.665797424E-1,5.785469055E0,7.834557953E0
9.042346250E-1,-4.930746460E-1,5.779930573E0,7.837402039E0
9.142526250E-1,-4.975653076E-1,5.738766174E0,7.784412231E0
9.242706250E-1,-5.167254639E-1,5.710175629E0,7.749684448E0
9.342886250E-1,-5.325924683E-1,5.712570648E0,7.724985809E0
9.443066250E-1,-4.939727783E-1,5.693560181E0,7.738158417E0
9.543246250E-1,-4.596940613E-1,5.732179871E0,7.777376862E0
9.643426250E-1,-4.721182251E-1,5.810916138E0,7.946225739E0
9.743606250E-1,-4.791535950E-1,5.838159485E0,8.170908508E0
9.843786250E-1,-3.995191956E-1,5.796096954E0,8.343499603E0
9.943976250E-1,-3.251239014E-1,5.744454346E0,8.364905090E0
1.004415625E0,-3.141966248E-1,5.704337769E0,8.258476410E0
1.014433625E0,-3.763174438E-1,5.734724579E0,8.186775513E0
1.024451625E0,-3.748205566E-1,5.789959717E0,8.207582245E0
1.034469625E0,-3.514691162E-1,5.834117889E0,8.286468201E0
1.044487625E0,-3.426374817E-1,5.859265594E0,8.335865479E0
1.054505625E0,-3.188369751E-1,5.839806061E0,8.269852753E0
1.064523625E0,-3.252735901E-1,5.864804077E0,8.158634033E0
1.074541625E0,-3.619473267E-1,5.853876801E0,8.069868622E0
1.084559625E0,-3.959266663E-1,5.850583649E0,7.941435699E0
1.094577625E0,-3.749702454E-1,5.787864075E0,7.792495422E0
1.104595625E0,-3.297642517E-1,5.753285980E0,7.816445618E0
1.114613625E0,-3.462300110E-1,5.788313141E0,7.913892975E0
1.124631625E0,-3.242257690E-1,5.823040924E0,8.009693756E0
1.134649625E0,-2.930905151E-1,5.790259094E0,7.976013794E0
1.144667625E0,-2.598596191E-1,5.813460846E0,7.839347992E0
1.154685625E0,-2.200424194E-1,5.881718903E0,7.767347717E0
1.164703625E0,-2.116598511E-1,5.942342834E0,7.782615967E0
1.174721625E0,-2.112107849E-1,5.941893768E0,7.884254608E0
1.184739625E0,-2.573149109E-1,5.892346802E0,7.920479279E0
1.194757625E0,-3.065625000E-1,5.823340302E0,7.858807526E0
1.204775625E0,-3.082090759E-1,5.767656097E0,7.821684723E0
1.214793625E0,-3.122506714E-1,5.757776642E0,7.872728577E0
1.224811625E0,-3.427871704E-1,5.805976410E0,7.988587646E0
1.234829625E0,-3.284170532E-1,5.845194855E0,8.066425781E0
1.244847625E0,-3.457809448E-1,5.797743530E0,8.010741577E0
1.254865625E0,-3.857478333E-1,5.769751740E0,7.930508423E0
1.264883625E0,-3.451821899E-1,5.803880768E0,7.999514923E0
1.274901625E0,-3.140469360E-1,5.808221741E0,8.064180450E0
1.284919625E0,-3.147953796E-1,5.807622986E0,8.051456909E0
1.294937625E0,-3.724255371E-1,5.840105438E0,8.026907959E0
1.304955625E0,-3.885919189E-1,5.846242676E0,7.996221771E0
1.314973625E0,-3.312611389E-1,5.817652130E0,7.951464844E0
1.324991625E0,-2.826123047E-1,5.832321625E0,7.956703949E0
1.335009625E0,-2.589614868E-1,5.870342560E0,8.054600372E0
1.345027625E0,-2.570155334E-1,5.866450653E0,8.105045471E0
1.355045625E0,-2.824626160E-1,5.766757965E0,8.006101227E0
1.365063625E0,-3.662882996E-1,5.740861816E0,7.927514648E0
1.375081625E0,-4.096980286E-1,5.786217499E0,7.932604065E0
1.385099625E0,-3.608995056E-1,5.803880768E0,7.969128113E0
1.395117625E0,-3.007246399E-1,5.822292480E0,7.977810059E0
1.405135625E0,-2.404000854E-1,5.818101196E0,7.988437958E0
1.415153625E0,-2.194436646E-1,5.819897461E0,7.985743561E0
1.425171625E0,-2.160008240E-1,5.843398590E0,8.005203094E0
1.435189625E0,-1.739382935E-1,5.852080536E0,8.108787689E0
1.445207625E0,-1.836680603E-1,5.869594116E0,8.132139130E0
1.455225625E0,-2.342628479E-1,5.858367462E0,8.077353058E0
1.465244625E0,-2.612068176E-1,5.843997345E0,7.967032471E0
1.475262625E0,-2.556683350E-1,5.784720612E0,7.866890717E0
1.485280625E0,-3.296145630E-1,5.741460571E0,7.944429474E0
1.495298625E0,-3.176394653E-1,5.784570923E0,8.073760529E0
1.505316625E0,-2.242337036E-1,5.826932831E0,8.126600647E0
1.515334625E0,-1.733395386E-1,5.817203064E0,8.063731384E0
1.525352625E0,-1.993853760E-1,5.813909912E0,7.962242432E0
1.535370625E0,-1.968406677E-1,5.870342560E0,7.937843170E0
1.545388625E0,-1.166075134E-1,5.924679565E0,7.956554260E0
1.555406625E0,-5.029541016E-2,5.920488281E0,7.995473328E0
1.565424625E0,1.032852173E-2,5.991291046E0,8.074958038E0
1.575442625E0,6.571334839E-2,6.057453461E0,8.105195160E0
1.585460625E0,4.460723877E-2,6.002517700E0,8.048762512E0
1.595478625E0,-6.466552734E-2,5.924679565E0,7.969577179E0
1.605496625E0,-1.534309387E-1,5.848637695E0,7.956254883E0
1.615514625E0,-1.859133911E-1,5.808820496E0,8.008196869E0
1.625532625E0,-1.939965820E-1,5.817652130E0,8.065377960E0
1.635550625E0,-2.242337036E-1,5.790109406E0,8.047714691E0
1.645568625E0,-2.719844055E-1,5.728138275E0,7.982001343E0
1.655586625E0,-3.028202820E-1,5.740562439E0,7.931406555E0
1.665604625E0,-3.037184143E-1,5.745352478E0,7.897127838E0
1.675622625E0,-2.055226135E-1,5.778882751E0,8.040080566E0
1.685640625E0,-1.701960754E-1,5.811963959E0,8.212971039E0
1.695658625E0,-1.844165039E-1,5.742358704E0,8.240064697E0
1.705676625E0,-2.070195007E-1,5.617368622E0,8.090974731E0
1.715694625E0,-2.423460388E-1,5.551206207E0,7.939040680E0
1.725712625E0,-2.737806702E-1,5.576503601E0,7.864346008E0
1.735730625E0,-2.507286072E-1,5.633235626E0,7.780220947E0
1.745748625E0,-2.095642090E-1,5.675148468E0,7.702382813E0
1.755766625E0,-2.077679443E-1,5.706583099E0,7.616910553E0
1.765784625E0,-1.401086426E-1,5.782475281E0,7.632627869E0
1.775802625E0,-9.250762939E-2,5.890999603E0,7.692802734E0
1.785820625E0,-1.163081360E-1,5.936355286E0,7.757917328E0
1.795838625E0,-1.627116394E-1,5.925278320E0,7.816295929E0
1.805856625E0,-1.502874756E-1,5.851032715E0,7.845485229E0
1.815874625E0,-8.053253174E-2,5.787564697E0,7.886799316E0
1.825892625E0,-2.634521484E-2,5.799390106E0,7.902217255E0
1.835910625E0,4.790039062E-3,5.794001312E0,7.868088226E0
1.845928625E0,-2.694396973E-2,5.760321350E0,7.798033905E0
1.855946750E0,-8.786727905E-2,5.822591858E0,7.772886200E0
1.865964750E0,-1.279838562E-1,5.920338593E0,7.843539276E0
1.875982750E0,-1.456471252E-1,6.043682098E0,7.981552277E0
1.886000750E0,-1.184037781E-1,6.091133423E0,8.057294769E0
1.896018750E0,-1.266366577E-1,6.057603149E0,8.003406830E0
1.906036750E0,-1.541793823E-2,6.002368011E0,7.925868073E0
1.916054750E0,1.627116394E-1,5.940396881E0,7.974367218E0
1.926072750E0,2.556683350E-1,5.948031006E0,8.111332397E0
1.936090750E0,3.481759644E-1,5.977519684E0,8.226143646E0
1.946108750E0,3.655398560E-1,5.957162018E0,8.184829559E0
1.956126750E0,3.171903992E-1,5.941444702E0,8.058342590E0
1.966144750E0,1.933978271E-1,5.933062134E0,7.959398346E0
1.976162750E0,8.008346558E-2,5.917195129E0,7.967182159E0
1.986180750E0,-9.430389404E-3,5.863905945E0,8.054750061E0
1.996198750E0,1.796264648E-3,5.809868317E0,8.112978973E0
2.006216750E0,5.403762817E-2,5.789360962E0,8.054750061E0
2.016234750E0,1.293310547E-1,5.847140808E0,7.969277802E0
2.026252750E0,2.249821472E-1,5.889053650E0,7.896678772E0
2.036270750E0,3.140469360E-1,5.868845673E0,7.855813751E0
2.046288750E0,3.378474426E-1,5.831722870E0,7.913294220E0
2.056306750E0,3.421884155E-1,5.848937073E0,8.044870605E0
2.066324750E0,2.550695801E-1,5.845194855E0,8.142617340E0
2.076342750E0,1.234931946E-1,5.824088745E0,8.169411621E0
2.086360750E0,9.624984741E-2,5.815556488E0,8.166268158E0
2.096378750E0,5.897735596E-2,5.826633453E0,8.122708740E0
2.106396750E0,7.379653931E-2,5.864205322E0,8.001460876E0
2.116414750E0,8.951385498E-2,5.912854156E0,7.887398071E0
2.126432750E0,1.573228455E-1,5.939798126E0,7.856412506E0
2.136450750E0,1.101708984E-1,5.938600616E0,7.857160950E0
2.146468750E0,3.397933960E-2,5.895340576E0,7.842940521E0
2.156486750E0,-2.903961182E-2,5.845045166E0,7.876919861E0
2.166504750E0,-4.176315308E-2,5.796695709E0,7.929161224E0
2.176522750E0,9.280700684E-3,5.708978119E0,7.958051147E0
2.186540750E0,-2.365081787E-2,5.692512360E0,7.996221771E0
2.196558750E0,-7.080276489E-2,5.757327576E0,8.030201111E0
2.206576750E0,-6.242019653E-2,5.785918121E0,8.052504730E0
2.216594750E0,-4.715194702E-2,5.761818237E0,7.999065857E0
2.226612750E0,-7.439529419E-2,5.732778625E0,7.916737061E0
2.236630750E0,-1.636097717E-1,5.769302673E0,7.977660370E0
2.246648750E0,-1.670526123E-1,5.773943024E0,8.062683563E0
2.256667750E0,-1.246907043E-1,5.730233917E0,8.105943604E0
2.266685750E0,-7.918533325E-2,5.717210999E0,8.082292786E0
2.276703750E0,-2.784210205E-2,5.700894928E0,8.058941345E0
2.286721750E0,1.601669312E-2,5.733676758E0,7.995772705E0
2.296739750E0,5.852828979E-2,5.782175903E0,7.984546051E0
2.306757750E0,5.658233643E-2,5.791755981E0,7.955805817E0
