"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.090500006E-3,-1.333726501E0,6.156547394E0,7.442822571E0
1.410849998E-2,-1.295106812E0,5.958958282E0,6.882687378E0
2.412650001E-2,-1.495540009E0,6.006110229E0,6.695576477E0
3.414350003E-2,-1.495689697E0,6.132447510E0,6.842121735E0
4.416150000E-2,-1.339564362E0,6.095923462E0,7.053781586E0
5.417950003E-2,-1.053958282E0,5.998027039E0,7.481292572E0
6.419650000E-2,-8.312214661E-1,6.032006378E0,7.985444183E0
7.421450003E-2,-7.946974182E-1,6.040987701E0,8.219856720E0
8.423250000E-2,-7.976911926E-1,5.902375946E0,8.178842010E0
9.424950002E-2,-7.460485840E-1,5.777984619E0,7.990383911E0
1.042675000E-1,-7.542814636E-1,5.754034424E0,7.660020905E0
1.142845000E-1,-9.021739197E-1,5.710025940E0,7.505841522E0
1.243025000E-1,-1.096320190E0,5.671855316E0,7.543862457E0
1.343205000E-1,-1.509161682E0,6.110592957E0,7.607480164E0
1.443375000E-1,-1.732946320E0,6.768175507E0,8.082891541E0
1.543555000E-1,-2.030377808E0,6.391259308E0,8.373287659E0
1.643735000E-1,-1.687890015E0,5.773344269E0,7.948471069E0
1.743905000E-1,-1.279239807E0,5.542673950E0,7.841593323E0
1.844085000E-1,-9.313632202E-1,5.455555115E0,8.003855896E0
1.944265000E-1,-6.932084656E-1,5.454956360E0,8.312963104E0
2.044435000E-1,-5.665718079E-1,5.483995972E0,8.533454590E0
2.144615000E-1,-5.664221191E-1,5.495372314E0,8.587941284E0
2.244785000E-1,-6.134243774E-1,5.549859009E0,8.547225952E0
2.344965000E-1,-6.863227844E-1,5.634283447E0,8.370443573E0
2.445145000E-1,-6.864724731E-1,5.663323059E0,8.060887299E0
2.545315000E-1,-5.745053101E-1,5.672304382E0,7.735164642E0
2.645495000E-1,-5.206173706E-1,5.683081970E0,7.504344635E0
2.745675000E-1,-4.540058899E-1,5.649102631E0,7.399113464E0
2.845841667E-1,-3.309617615E-1,5.595214691E0,7.477250977E0
2.946021667E-1,-1.896556091E-1,5.504503326E0,7.670199738E0
3.046201667E-1,-1.187031555E-1,5.416935425E0,7.834408264E0
3.146371667E-1,-2.769241333E-2,5.247936859E0,7.960296478E0
3.246551667E-1,8.652008057E-2,5.108426971E0,8.037984924E0
3.346731667E-1,1.528321838E-1,5.062921600E0,8.200995941E0
3.446901666E-1,1.413061523E-1,5.076692963E0,8.430468750E0
3.547081667E-1,2.089654541E-1,4.880301361E0,8.793463898E0
3.647251667E-1,3.465293884E-1,4.784949646E0,8.833131409E0
3.747431667E-1,3.444337463E-1,5.194497986E0,8.399034119E0
3.847611666E-1,1.917512512E-1,5.393733673E0,8.361911316E0
3.947781667E-1,-7.993377686E-2,5.229076080E0,8.402327271E0
4.047961667E-1,-2.417472839E-1,5.266647949E0,8.303981781E0
