"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.260875026E-3,-2.442171478E0,3.526815948E0,8.535400543E0
8.761124976E-3,-2.607727203E0,3.301384735E0,8.579109650E0
1.878312498E-2,-2.595303040E0,3.428320770E0,8.805139618E0
2.880512498E-2,-2.235900421E0,3.403023376E0,9.055269470E0
3.882712498E-2,-1.915566559E0,3.226091309E0,9.331594849E0
4.884912499E-2,-1.755100250E0,3.116070099E0,9.329499207E0
5.887112499E-2,-1.583556976E0,3.143014069E0,9.103469238E0
6.889312499E-2,-1.552122345E0,3.171155548E0,8.984915771E0
7.891512499E-2,-1.731000366E0,3.190764771E0,9.157057800E0
8.893712499E-2,-1.695823517E0,3.099754028E0,9.257947998E0
9.895912500E-2,-1.235381012E0,2.854563904E0,9.214388580E0
1.089811250E-1,-7.822732544E-1,2.595452728E0,9.397158508E0
1.190031249E-1,-6.066883850E-1,2.494861908E0,9.779912567E0
1.290251249E-1,-5.563929749E-1,2.479294281E0,1.025667114E1
1.390481250E-1,-3.477268982E-1,2.402354279E0,1.042013123E1
1.490701250E-1,-9.475296021E-2,2.331401825E0,1.023751099E1
1.590921250E-1,3.607498169E-2,2.345322876E0,9.882748718E0
1.691141250E-1,-1.761836243E-1,2.533331909E0,9.761351166E0
1.791361250E-1,-6.252497864E-1,2.760559387E0,9.802814941E0
1.891581250E-1,-1.013991394E0,2.773881683E0,9.627379761E0
1.991801250E-1,-1.260079651E0,2.917732544E0,9.228159943E0
2.092021250E-1,-1.440604248E0,2.995271301E0,8.803792419E0
2.192241250E-1,-1.291963348E0,2.912792816E0,8.780141602E0
2.292461250E-1,-9.169931030E-1,2.544857941E0,9.212292938E0
2.392681250E-1,-3.802093506E-1,2.111808472E0,9.664652252E0
2.492901250E-1,4.520599365E-2,1.942360840E0,9.985435181E0
2.593121250E-1,1.998344421E-1,1.703457642E0,1.006746460E1
2.693341250E-1,1.353186035E-1,1.617386627E0,1.002615051E1
2.793561250E-1,-4.071533203E-2,1.831591187E0,9.836195526E0
2.893781250E-1,-4.388873291E-1,1.973196716E0,9.457333374E0
2.994001250E-1,-8.523275757E-1,2.263742523E0,9.025331726E0
3.094221250E-1,-1.105151825E0,2.741099854E0,8.829389191E0
3.194441250E-1,-1.163680115E0,2.860102386E0,8.799002380E0
3.294661250E-1,-9.966275024E-1,2.663112030E0,8.940308533E0
