"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.410249959E-3,-3.761677551E-1,4.340972900E-3,9.762249298E0
1.243224996E-2,-3.802093506E-1,-1.347198486E-3,9.789342957E0
2.245324996E-2,-3.695814514E-1,6.137237549E-3,9.778265991E0
3.247524996E-2,-3.785627747E-1,-4.490661621E-4,9.757309570E0
4.249625001E-2,-3.658392334E-1,-3.592529297E-3,9.786947937E0
5.251824996E-2,-3.779640198E-1,1.242416382E-2,9.793085175E0
6.254024996E-2,-3.613485718E-1,-1.182540894E-2,9.797276459E0
7.256125001E-2,-3.739224243E-1,1.766326904E-2,9.773925018E0
8.258324995E-2,-3.763174438E-1,-1.197509766E-3,9.782157898E0
9.260425001E-2,-3.863465881E-1,6.885681152E-3,9.771080933E0
1.026262500E-1,-3.847000122E-1,1.496887207E-3,9.779613190E0
1.126472500E-1,-3.870950317E-1,9.879455566E-3,9.782307587E0
1.226692500E-1,-3.809577942E-1,5.388793945E-3,9.774374084E0
1.326902500E-1,-3.879931641E-1,1.496887207E-4,9.770033112E0
1.427122500E-1,-3.626957703E-1,1.122665405E-2,9.767787781E0
1.527332500E-1,-3.812571716E-1,-7.484436035E-3,9.773925018E0
1.627552500E-1,-3.635939026E-1,1.377136230E-2,9.782008209E0
1.727772500E-1,-3.806584167E-1,1.197509766E-3,9.773925018E0
1.827982500E-1,-3.914360046E-1,-4.191284180E-3,9.780960388E0
1.928202500E-1,-3.785627747E-1,1.796264648E-3,9.787995758E0
2.028412500E-1,-3.833528137E-1,-2.844085693E-3,9.787247314E0
2.128632500E-1,-3.728746033E-1,-5.837860107E-3,9.782606964E0
2.228842500E-1,-3.748205566E-1,4.939727783E-3,9.772128754E0
2.329062500E-1,-3.878434753E-1,-1.661544800E-2,9.780661011E0
2.429272500E-1,-3.745211792E-1,-1.796264648E-3,9.773176575E0
2.529492500E-1,-3.667373657E-1,-1.945953369E-3,9.778265991E0
2.629712500E-1,-3.656895447E-1,4.490661621E-3,9.792336731E0
2.729922500E-1,-3.887416077E-1,-1.796264648E-3,9.778715057E0
2.830142500E-1,-3.758683777E-1,-1.796264648E-3,9.775571594E0
2.930352500E-1,-3.704795837E-1,1.362167358E-2,9.776320038E0
3.030572500E-1,-3.882925415E-1,1.437011719E-2,9.768985291E0
3.130782500E-1,-3.653901672E-1,-2.245330811E-3,9.771230621E0
3.231002500E-1,-3.724255371E-1,7.933502197E-3,9.777966614E0
3.331215417E-1,-3.778143311E-1,2.544708252E-3,9.773625641E0
3.431435417E-1,-3.701802063E-1,3.592529297E-3,9.775122528E0
3.531655417E-1,-3.761677551E-1,5.987548828E-4,9.779463501E0
3.631865417E-1,-3.829037476E-1,-3.143463135E-3,9.775721283E0
3.732085417E-1,-3.878434753E-1,9.729766846E-3,9.773176575E0
3.832295417E-1,-3.754193115E-1,7.035369873E-3,9.774224396E0
3.932515417E-1,-3.743714905E-1,-3.293151855E-3,9.765991516E0
4.032725416E-1,-3.814068604E-1,-6.436614990E-3,9.769733734E0
4.132945416E-1,-3.685336304E-1,8.981323242E-4,9.779313812E0
4.233155416E-1,-3.664379883E-1,4.340972900E-3,9.775870972E0
4.333375416E-1,-3.644920349E-1,-1.107696533E-2,9.793085175E0
4.433595416E-1,-3.817062378E-1,-3.442840576E-3,9.775870972E0
4.533805416E-1,-3.888912964E-1,1.945953369E-3,9.792037354E0
4.634025416E-1,-3.721261597E-1,1.437011719E-2,9.798174591E0
4.734235416E-1,-3.758683777E-1,-1.257385254E-2,9.770033112E0
4.834455416E-1,-3.640429688E-1,2.095642090E-3,9.779613190E0
4.934665416E-1,-3.832031250E-1,2.335144043E-2,9.763596497E0
5.034885416E-1,-3.682342529E-1,2.140548706E-2,9.761351166E0
5.135095416E-1,-3.844006348E-1,-8.681945801E-3,9.777667236E0
5.235315416E-1,-3.763174438E-1,-1.496887207E-3,9.785151672E0
5.335535416E-1,-3.761677551E-1,-2.993774414E-4,9.778116302E0
5.435745416E-1,-3.809577942E-1,-2.245330811E-3,9.772727509E0
5.535965416E-1,-3.749702454E-1,-1.062789917E-2,9.765841827E0
5.636175416E-1,-3.779640198E-1,1.496887207E-3,9.762997742E0
5.736395416E-1,-3.688330078E-1,6.586303711E-3,9.779912567E0
5.836605416E-1,-3.897894287E-1,2.544708252E-3,9.785301361E0
5.936825416E-1,-3.673361206E-1,-2.694396973E-3,9.770781555E0
6.037035416E-1,-3.894900513E-1,2.245330811E-3,9.780361633E0
