"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.019149996E-2,-6.565796356E0,4.324956207E0,1.156180710E1
3.020849999E-2,-5.775739288E0,4.241878967E0,1.202853653E1
4.022550001E-2,-5.064119110E0,4.296066284E0,1.193572952E1
5.024249997E-2,-4.139042816E0,4.176464996E0,1.134595596E1
6.025949999E-2,-3.241060181E0,3.891906738E0,1.055006104E1
7.027749997E-2,-2.669398956E0,3.703598328E0,9.819280701E0
8.029449999E-2,-2.446961517E0,3.565435638E0,9.051527252E0
9.031149995E-2,-2.753823395E0,3.783981171E0,8.319848785E0
1.003285000E-1,-2.586920471E0,3.541934509E0,7.800877991E0
1.103455000E-1,-2.294877777E0,3.318748627E0,7.739056549E0
1.203625000E-1,-1.988614655E0,3.247496796E0,8.152047729E0
1.303795000E-1,-1.855541382E0,2.894979858E0,8.778195648E0
1.403965000E-1,-1.055604858E0,2.463277588E0,8.769364014E0
1.504135000E-1,-8.187973022E-1,1.929786987E0,8.460406494E0
1.604305000E-1,-8.192463684E-1,1.585652618E0,7.810308380E0
1.704475000E-1,-1.248104553E0,1.605112152E0,7.391030273E0
1.804637500E-1,-1.852547607E0,1.500330048E0,7.283853149E0
1.904807500E-1,-2.117945709E0,1.388662262E0,7.473658447E0
2.004977500E-1,-2.452799377E0,1.410816193E0,7.707621918E0
2.105147500E-1,-2.606230316E0,1.637744293E0,7.749235382E0
2.205317500E-1,-2.885699158E0,1.794618073E0,7.655380554E0
2.305487500E-1,-3.151696014E0,1.866468658E0,7.406747589E0
2.405657500E-1,-2.673739929E0,1.283281403E0,7.050338745E0
2.505827500E-1,-2.673141174E0,8.701405334E-1,7.788304138E0
2.605997500E-1,-2.108665009E0,1.639091492E0,8.537047119E0
2.706167500E-1,-1.930984497E0,1.838925934E0,7.736212463E0
2.806347500E-1,-1.724264374E0,1.479074249E0,7.239545288E0
2.906517500E-1,-1.600920868E0,1.119072876E0,7.317533112E0
3.006687500E-1,-1.536854095E0,9.836045837E-1,7.730524292E0
3.106857500E-1,-1.744472351E0,1.011147308E0,8.331674194E0
3.207027500E-1,-2.303260345E0,8.994795227E-1,9.050180054E0
3.307197500E-1,-3.073109436E0,6.216572571E-1,9.778265991E0
3.407367500E-1,-3.837420044E0,2.999761963E-1,1.047656387E1
3.507537500E-1,-4.800217896E0,8.128097534E-2,1.094598770E1
3.607707500E-1,-5.561684418E0,3.263214111E-2,1.107801315E1
3.707877500E-1,-5.727838898E0,4.303550720E-1,1.094239517E1
3.808047500E-1,-5.066963196E0,9.391470337E-1,1.060409866E1
3.908217500E-1,-3.838318176E0,1.117276611E0,1.026819717E1
4.008387500E-1,-3.184028778E0,1.423689423E0,9.838291168E0
4.108557500E-1,-3.410358124E0,2.543361053E0,9.584269409E0
4.208727500E-1,-3.585793304E0,3.790268097E0,9.731862488E0
4.308897500E-1,-3.281925201E0,4.383334808E0,1.013617172E1
4.409067500E-1,-2.858455811E0,4.461472321E0,1.085018692E1
4.509237500E-1,-3.307971039E0,4.030368805E0,1.371822281E1
4.609407500E-1,-3.365900574E0,3.882326660E0,1.289343796E1
4.709587500E-1,-3.607498169E0,3.581602020E0,1.294058990E1
4.809747500E-1,-4.023034058E0,2.858455811E0,1.328472427E1
4.909927500E-1,-3.511697388E0,2.386187897E0,1.340896591E1
5.010097500E-1,-3.634292450E0,2.822231140E0,1.388377853E1
5.110267500E-1,-3.766018524E0,3.212619324E0,1.398796188E1
5.210437500E-1,-3.939807129E0,3.442241821E0,1.374696304E1
5.310607500E-1,-4.659660187E0,3.985611877E0,1.307366318E1
5.410777500E-1,-4.631668396E0,4.556374969E0,1.235351074E1
5.510947500E-1,-3.782783661E0,4.677473145E0,1.137679184E1
5.611117500E-1,-2.708617401E0,4.643194427E0,1.088132217E1
5.711287500E-1,-2.039508820E0,4.291425934E0,1.047731232E1
5.811457500E-1,-7.485932922E-1,3.835324402E0,9.429940338E0
5.911627500E-1,1.080752563E-1,3.123105469E0,8.188422089E0
6.011797500E-1,6.608757019E-1,2.451901245E0,6.747219086E0
6.111967500E-1,9.895921326E-1,2.274370422E0,5.438939667E0
6.212137500E-1,1.097966766E0,2.491419067E0,4.345313873E0
6.312307500E-1,1.227297821E0,2.706970825E0,3.859274597E0
6.412477500E-1,2.026186523E0,2.499502258E0,3.987707520E0
6.512647500E-1,2.522254944E0,2.212848358E0,4.004472656E0
6.612817500E-1,2.318678284E0,2.038610687E0,4.194876709E0
6.712987500E-1,2.135010223E0,1.670526123E0,3.920796661E0
6.813167500E-1,1.906585236E0,1.231638794E0,3.190016327E0
6.913337500E-1,1.525477753E0,1.113534393E0,2.348616028E0
7.013507500E-1,1.370699615E0,1.295256500E0,1.483115845E0
7.113677500E-1,1.347198486E0,1.012943573E0,5.227130127E-1
7.213847500E-1,1.381776581E0,1.057550812E0,-2.885998535E-1
7.314017500E-1,1.427731018E0,1.279988251E0,-3.339555359E-1
7.414187500E-1,1.373992767E0,1.374441833E0,-1.645079041E-1
7.514357500E-1,1.229992218E0,1.381626892E0,-1.077758789E-1
7.614527500E-1,1.437011719E0,1.270408173E0,2.607577515E-1
7.714697500E-1,1.899849243E0,1.369352417E0,1.192120972E0
7.814867500E-1,2.271975403E0,1.146465912E0,1.594334564E0
7.915037500E-1,2.928210754E0,9.683363342E-1,1.530716858E0
8.015207500E-1,2.923420715E0,8.723858643E-1,1.135838013E0
8.115377500E-1,2.784808960E0,2.806663513E-1,2.188449097E-1
8.215547500E-1,2.497705994E0,-1.239422607E-1,-7.746391296E-1
8.315717500E-1,2.403551788E0,-4.245172119E-1,-2.016307068E0
8.415887500E-1,3.354075165E0,-7.391629028E-1,-1.787133636E0
8.516057500E-1,4.021986237E0,-1.619482269E0,-1.353036346E0
8.616227500E-1,5.037175140E0,-2.259700928E0,-1.379680939E0
8.716407500E-1,6.354735260E0,-2.773282928E0,-1.136287079E0
8.816577500E-1,7.608078918E0,-3.987108765E0,-1.040486298E0
8.916747500E-1,8.375233612E0,-4.937183075E0,-6.557862854E-1
9.016917500E-1,9.079968109E0,-5.883215790E0,5.852828979E-2
9.117087500E-1,1.014245865E1,-7.138505402E0,6.944059753E-1
9.217257500E-1,1.141271713E1,-8.373736725E0,1.309327240E0
9.317427500E-1,1.279015274E1,-9.674082642E0,1.770069122E0
9.417597500E-1,1.459150681E1,-1.119881195E1,1.973196716E0
9.517767500E-1,1.619991211E1,-1.243718674E1,1.961071930E0
9.617937500E-1,1.683773575E1,-1.280108002E1,2.199825439E0
9.718107500E-1,1.738394989E1,-1.294268555E1,2.639311523E0
9.818277500E-1,1.782134033E1,-1.319895264E1,2.949466553E0
9.918447500E-1,1.826367050E1,-1.295031967E1,2.985840912E0
1.001861750E0,1.899340302E1,-1.257040970E1,2.699486389E0
1.011878750E0,1.909489197E1,-1.211176346E1,1.779200134E0
1.021895750E0,1.880898651E1,-1.134236343E1,8.735833740E-1
1.031912750E0,1.882889511E1,-1.097278198E1,1.451980591E-2
1.041929750E0,1.889535690E1,-1.113354767E1,-7.469467163E-1
1.051946750E0,1.866872818E1,-1.151061356E1,-1.374741211E0
1.061964750E0,1.827669342E1,-1.189800797E1,-1.985770569E0
1.071981750E0,1.774844193E1,-1.198033676E1,-2.188299408E0
1.081998750E0,1.727512619E1,-1.181358353E1,-2.038610687E0
1.092015750E0,1.693278809E1,-1.148277145E1,-1.726210327E0
1.102032750E0,1.642908554E1,-1.093580887E1,-1.260528717E0
1.112049750E0,1.568797668E1,-1.017074982E1,-6.848258972E-1
1.122066750E0,1.482846405E1,-9.346414032E0,-1.892065430E-1
1.132083750E0,1.391985352E1,-8.479117584E0,1.655557251E-1
1.142100750E0,1.301932617E1,-7.594606934E0,4.162843323E-1
1.152117750E0,1.209320206E1,-6.887028351E0,6.289920044E-1
1.162134750E0,1.120390137E1,-6.400090942E0,8.223898315E-1
1.172151750E0,1.036055511E1,-6.002068634E0,1.071022797E0
1.182169000E0,9.694589996E0,-5.677393799E0,1.402283936E0
1.192186000E0,9.192683716E0,-5.376669159E0,1.774559784E0
1.202203000E0,8.885821838E0,-5.232668610E0,2.171384583E0
1.212220000E0,8.610993347E0,-5.085524597E0,2.458038483E0
1.222237000E0,8.393944702E0,-4.870421906E0,2.560874634E0
1.232254000E0,8.344697113E0,-4.554578705E0,2.770588531E0
1.242271000E0,8.123008118E0,-4.142785034E0,2.879112854E0
1.252289000E0,7.926317139E0,-3.832779694E0,2.725831604E0
1.262306000E0,7.783214722E0,-3.718567200E0,2.506687317E0
1.272323000E0,7.608677673E0,-3.747157745E0,2.291884003E0
1.282340000E0,7.359895020E0,-3.999532928E0,2.128423920E0
1.292357000E0,7.168892212E0,-4.393214264E0,2.098336487E0
1.302374000E0,7.394922180E0,-4.613256683E0,1.956730957E0
1.312391000E0,7.942483521E0,-4.646487579E0,1.627715149E0
1.322408000E0,8.507109375E0,-4.685855713E0,1.326541443E0
1.332425000E0,9.163045349E0,-4.759053497E0,1.049467621E0
1.342442000E0,9.815837860E0,-4.913981323E0,9.120533752E-1
1.352459000E0,1.013362701E1,-5.159021759E0,8.728349304E-1
1.362476000E0,1.027418472E1,-5.515280914E0,9.791139221E-1
1.372493000E0,1.090706863E1,-6.678062897E0,1.157842255E0
1.382510000E0,1.078956299E1,-7.416477356E0,1.409918060E0
1.392527000E0,1.060514648E1,-8.079299011E0,1.851050720E0
1.402544000E0,1.039663010E1,-8.629105682E0,2.176473999E0
1.412561000E0,1.095407089E1,-9.511670380E0,2.467468872E0
1.422578000E0,1.105945175E1,-9.443711700E0,2.668949890E0
1.432595000E0,1.154773636E1,-9.397008820E0,2.718796234E0
1.442613000E0,1.211056595E1,-9.718540192E0,2.564916229E0
1.452630000E0,1.280317566E1,-1.036609360E1,2.599344635E0
1.462647000E0,1.278970367E1,-9.887987823E0,2.513722687E0
1.472664000E0,1.240171051E1,-8.767567749E0,2.110760651E0
1.482681000E0,1.242012222E1,-8.190218353E0,1.545086975E0
1.492698000E0,1.225561432E1,-7.512577515E0,1.179996185E0
1.502715000E0,1.246877106E1,-6.923402710E0,1.038240967E0
1.512732000E0,1.317934341E1,-7.071145477E0,9.517208862E-1
1.522749000E0,1.387509659E1,-7.808212738E0,8.946894836E-1
1.532766000E0,1.435320236E1,-8.687484283E0,8.577163696E-1
1.542783000E0,1.457563980E1,-9.635013885E0,8.958869934E-1
1.552800000E0,1.446412170E1,-1.048075516E1,9.821076965E-1
1.562817000E0,1.402613251E1,-1.126287872E1,1.001716919E0
1.572834000E0,1.340208023E1,-1.193453201E1,7.728428650E-1
1.582851000E0,1.278027328E1,-1.248373993E1,3.788621521E-1
1.592868000E0,1.203617065E1,-1.282458115E1,-3.757186890E-2
1.602885000E0,1.123383911E1,-1.301573364E1,-5.294490051E-1
1.612902000E0,1.044737457E1,-1.289942551E1,-1.048120422E0
1.622919000E0,9.691296844E0,-1.256981094E1,-1.553170166E0
1.632937000E0,8.973689117E0,-1.211101501E1,-1.998045044E0
1.642954000E0,8.295449524E0,-1.146016846E1,-2.312241669E0
1.652971000E0,7.791148224E0,-1.080078964E1,-2.465822296E0
1.662988000E0,7.358098755E0,-1.012060410E1,-2.481090546E0
1.673005000E0,7.097041626E0,-9.518855438E0,-2.404300232E0
1.683022000E0,7.016359406E0,-9.108259277E0,-2.222428436E0
1.693039000E0,7.095694427E0,-8.794212341E0,-2.057321777E0
1.703056000E0,7.199877777E0,-8.505911865E0,-1.926493835E0
1.713073000E0,7.390132141E0,-8.222251740E0,-1.762584686E0
1.723090000E0,7.909701691E0,-7.987090759E0,-1.548230438E0
1.733107000E0,8.334518280E0,-7.828720093E0,-1.673968964E0
1.743124000E0,8.574169922E0,-7.755222931E0,-2.246228943E0
1.753141000E0,8.559500427E0,-7.815397797E0,-3.013832703E0
1.763158000E0,8.303532715E0,-8.019872589E0,-3.838767242E0
1.773175000E0,7.805817719E0,-8.123157806E0,-4.389771423E0
1.783192000E0,7.058421936E0,-8.064928894E0,-4.607568512E0
1.793209000E0,6.342909851E0,-7.927963715E0,-4.602778473E0
1.803226000E0,5.738766174E0,-7.833809509E0,-4.524341583E0
1.813243000E0,5.231920166E0,-7.857011261E0,-4.495451660E0
1.823261000E0,5.036127319E0,-7.905360718E0,-4.409380646E0
1.833278000E0,5.227878571E0,-7.981103210E0,-4.199966125E0
1.843295000E0,5.597310333E0,-8.257129211E0,-3.939956818E0
1.853312000E0,6.004313965E0,-8.662336578E0,-3.604953461E0
1.863329000E0,6.172863464E0,-9.127120056E0,-3.337609406E0
1.873346000E0,6.147715759E0,-9.618847504E0,-3.136727142E0
1.883363000E0,5.758824463E0,-1.005728577E1,-2.977608032E0
1.893380000E0,5.275778961E0,-1.029409332E1,-2.741099854E0
1.903397000E0,4.848417664E0,-1.039169037E1,-2.420017548E0
1.913414000E0,4.611310730E0,-1.058404037E1,-2.101180573E0
1.923431000E0,4.683460693E0,-1.108998825E1,-2.027234344E0
1.933448000E0,4.338727570E0,-1.148052612E1,-1.873504028E0
1.943465000E0,3.306025085E0,-1.107352249E1,-1.498683472E0
1.953482000E0,2.548001404E0,-1.060125458E1,-1.289718018E0
1.963499000E0,2.154020691E0,-1.039692947E1,-1.161434784E0
1.973516000E0,2.042801971E0,-1.007689499E1,-1.002615051E0
1.983533000E0,2.327809296E0,-9.928104401E0,-1.298250275E0
1.993550000E0,2.958597565E0,-9.666448517E0,-2.130519562E0
2.003567000E0,3.887715454E0,-9.231153717E0,-3.126548309E0
2.013585000E0,5.269641724E0,-9.263187103E0,-3.988156586E0
2.023602000E0,6.650819550E0,-9.862091675E0,-4.620741119E0
2.033619000E0,7.576344910E0,-1.043300446E1,-5.181924133E0
2.043636000E0,8.150850220E0,-1.093640762E1,-5.650449829E0
2.053653000E0,8.385262756E0,-1.129670837E1,-5.897885284E0
2.063670000E0,8.369096375E0,-1.146989822E1,-5.932164001E0
2.073687000E0,8.268355865E0,-1.144145737E1,-5.809119873E0
2.083704000E0,8.203840027E0,-1.107936035E1,-5.584437103E0
2.093721000E0,8.224048004E0,-1.056023987E1,-5.246140594E0
2.103738000E0,8.204139404E0,-9.954898682E0,-4.794679413E0
2.113755000E0,8.181386719E0,-9.291178894E0,-4.285438385E0
2.123772000E0,8.093669128E0,-8.564589844E0,-3.728296967E0
2.133789000E0,7.894882507E0,-7.967182159E0,-3.261567535E0
2.143806000E0,7.696245575E0,-7.505242767E0,-2.884801025E0
2.153823000E0,7.477250977E0,-7.275919647E0,-2.532733154E0
2.163840000E0,7.284302216E0,-7.161407776E0,-2.286495209E0
2.173857000E0,7.205715637E0,-7.144492950E0,-2.162702637E0
2.183874125E0,7.242239685E0,-7.262297974E0,-2.036664734E0
2.193891125E0,7.275470581E0,-7.245682526E0,-1.970202942E0
2.203908125E0,7.364834747E0,-7.199877777E0,-1.914219360E0
2.213926125E0,7.519014130E0,-7.238946533E0,-1.824855194E0
2.223943125E0,7.623796234E0,-7.324718170E0,-1.711989899E0
2.233960125E0,7.768844604E0,-7.345075836E0,-1.457070007E0
2.243977125E0,7.950566711E0,-7.381300507E0,-1.195863190E0
2.253994125E0,8.159681854E0,-7.375013580E0,-1.025517426E0
2.264011125E0,8.333470459E0,-7.451654205E0,-9.306147766E-1
2.274028125E0,8.570427704E0,-7.649842072E0,-8.370593262E-1
2.284045125E0,8.878786469E0,-7.744295654E0,-6.759942627E-1
2.294062125E0,9.289532318E0,-7.739056549E0,-5.188211060E-1
2.304079125E0,9.764794006E0,-7.705975342E0,-4.242178345E-1
2.314096125E0,1.023885818E1,-7.637717285E0,-3.761677551E-1
2.324113125E0,1.079989151E1,-7.692952423E0,-4.683760071E-1
2.334130125E0,1.128682892E1,-7.848778381E0,-5.801934814E-1
2.344147125E0,1.179906372E1,-8.278534698E0,-6.394702148E-1
2.354164125E0,1.220636673E1,-8.728349304E0,-6.083349609E-1
2.364181125E0,1.248224304E1,-9.191336517E0,-4.746629333E-1
2.374198125E0,1.266965332E1,-9.555678864E0,-2.402503967E-1
2.384215125E0,1.275976593E1,-9.764943695E0,8.532257080E-3
2.394233125E0,1.278850616E1,-9.783505096E0,3.252735901E-1
2.404250125E0,1.268537064E1,-9.607022095E0,7.069798279E-1
2.414267125E0,1.263926651E1,-9.413175201E0,1.085243225E0
2.424284125E0,1.301214111E1,-9.755513306E0,1.313219147E0
2.434301125E0,1.313952621E1,-1.028780640E1,1.535656586E0
2.444318125E0,1.268537064E1,-1.016236725E1,1.644031219E0
2.454335125E0,1.235680389E1,-1.012584320E1,1.301992493E0
2.464352125E0,1.194650711E1,-9.969867554E0,7.632627869E-1
2.474369125E0,1.162422729E1,-9.447453918E0,4.171824646E-1
2.484386125E0,1.159653488E1,-8.682394867E0,3.772155762E-1
2.494403125E0,1.193483139E1,-7.976013794E0,6.807843018E-1
2.504420125E0,1.247236359E1,-7.377558289E0,9.997709656E-1
2.514437125E0,1.316931427E1,-7.120842133E0,1.299747162E0
2.524454125E0,1.399888916E1,-7.225175171E0,1.603166199E0
2.534471125E0,1.460842163E1,-7.322921906E0,1.983824615E0
2.544488125E0,1.487636444E1,-7.437284088E0,2.364932098E0
2.554505125E0,1.483774475E1,-7.864944763E0,2.484383698E0
2.564522125E0,1.446232544E1,-8.684789886E0,2.230960693E0
2.574539125E0,1.385743332E1,-9.683812408E0,1.718725891E0
2.584556125E0,1.311662384E1,-1.065469345E1,1.209484863E0
2.594574125E0,1.236653366E1,-1.139505386E1,6.816824341E-1
2.604591125E0,1.161494659E1,-1.189651108E1,1.326242065E-1
2.614608125E0,1.086201233E1,-1.210038712E1,-3.423381042E-1
2.624625125E0,1.027238846E1,-1.208437042E1,-7.671546936E-1
2.634642125E0,9.794282684E0,-1.193797485E1,-1.158740387E0
2.644659125E0,9.445208588E0,-1.182690582E1,-1.552571411E0
2.654676125E0,9.207802277E0,-1.163216080E1,-1.890418854E0
2.664693125E0,8.979976044E0,-1.139729919E1,-2.203867035E0
2.674710125E0,8.676257629E0,-1.120809265E1,-2.546654205E0
2.684727125E0,8.344846802E0,-1.100107315E1,-2.811902618E0
2.694744125E0,8.061036987E0,-1.070932983E1,-3.005599823E0
2.704761125E0,7.954308929E0,-1.043764481E1,-3.128943329E0
2.714778125E0,7.925119629E0,-1.019290375E1,-3.192111969E0
2.724795125E0,7.830516357E0,-9.960437164E0,-3.268453217E0
2.734812125E0,7.604336700E0,-9.812245331E0,-3.374283142E0
2.744829125E0,7.310797119E0,-9.720486145E0,-3.486998749E0
2.754846125E0,6.983577576E0,-9.600435791E0,-3.542682953E0
2.764863125E0,6.636299744E0,-9.448202362E0,-3.438798981E0
2.774880125E0,6.246660004E0,-9.271120605E0,-3.318299561E0
2.784898125E0,5.899980927E0,-9.154513092E0,-3.222498779E0
2.794915125E0,5.590125275E0,-8.989556122E0,-3.152444458E0
2.804932125E0,5.355413361E0,-8.831484833E0,-3.071313171E0
2.814949125E0,5.267995148E0,-8.789422302E0,-3.053799591E0
2.824966125E0,5.373825073E0,-8.881480865E0,-3.019371185E0
2.834983125E0,5.633684692E0,-9.160051575E0,-2.990331573E0
2.845000125E0,5.727090454E0,-9.707762604E0,-3.051703949E0
2.855017125E0,5.586832123E0,-1.040471329E1,-3.150648193E0
2.865034125E0,5.363795929E0,-1.115076187E1,-3.195554810E0
2.875051125E0,5.011728058E0,-1.172167465E1,-3.254532166E0
2.885068125E0,4.708907776E0,-1.200368820E1,-3.193309479E0
2.895085125E0,4.295916595E0,-1.190519302E1,-3.047063599E0
2.905102125E0,3.738625488E0,-1.148411865E1,-2.917732544E0
2.915119125E0,3.352578278E0,-1.109178452E1,-2.882705383E0
2.925136125E0,3.316952362E0,-1.117381393E1,-3.048410797E0
2.935153125E0,2.959645386E0,-1.165296753E1,-3.366349640E0
2.945170125E0,1.861977997E0,-1.140867554E1,-3.505410461E0
2.955187125E0,1.055305481E0,-1.080857346E1,-3.527863770E0
2.965204125E0,1.051563263E0,-1.045306274E1,-3.287313995E0
2.975221125E0,1.434916077E0,-1.007494904E1,-2.940784607E0
2.985239125E0,1.994153137E0,-9.421108704E0,-2.878514099E0
2.995256125E0,3.020568695E0,-8.831335144E0,-3.329526215E0
3.005273125E0,4.546944580E0,-8.624764709E0,-4.068689117E0
3.015290125E0,6.284830627E0,-9.094787292E0,-4.965174866E0
3.025307125E0,7.551346893E0,-9.871971130E0,-5.929170227E0
3.035324125E0,8.179141388E0,-1.052566177E1,-6.538253632E0
3.045341125E0,8.454868011E0,-1.107037903E1,-6.760541382E0
3.055358125E0,8.579708405E0,-1.164757874E1,-6.653064880E0
3.065375125E0,8.476423187E0,-1.198662369E1,-6.396797791E0
3.075392125E0,8.454418945E0,-1.188767944E1,-6.018983459E0
3.085409125E0,8.556656342E0,-1.140134079E1,-5.472020874E0
3.095426125E0,8.509953461E0,-1.066801575E1,-4.840035095E0
3.105443125E0,8.433911591E0,-9.855954437E0,-4.265380096E0
3.115460125E0,8.256380768E0,-9.127569122E0,-3.661685486E0
3.125477125E0,8.020171967E0,-8.538993073E0,-3.116369476E0
3.135494125E0,7.765551453E0,-8.137228546E0,-2.697091370E0
3.145511125E0,7.457641754E0,-7.821385345E0,-2.347418518E0
3.155528125E0,7.164850616E0,-7.632777557E0,-2.129471741E0
3.165545125E0,6.905589752E0,-7.486232300E0,-2.081870728E0
3.175562125E0,6.806046753E0,-7.295828247E0,-2.035467224E0
3.185580250E0,6.901248779E0,-7.111411743E0,-1.939965820E0
3.195597250E0,7.020550690E0,-6.964118042E0,-1.893861694E0
3.205614250E0,7.183711395E0,-6.884783020E0,-1.866768036E0
3.215631250E0,7.331005096E0,-6.834936676E0,-1.779499512E0
3.225648250E0,7.370073853E0,-6.875801697E0,-1.669777679E0
3.235665250E0,7.411537628E0,-7.072492676E0,-1.488205261E0
3.245682250E0,7.401209106E0,-7.378157043E0,-1.184636536E0
3.255699250E0,7.465425568E0,-7.587571564E0,-7.592211914E-1
3.265716250E0,7.662415924E0,-7.692503357E0,-3.745211792E-1
3.275733250E0,7.986342316E0,-7.650291138E0,-2.408491516E-1
3.285750250E0,8.513545990E0,-7.543862457E0,-3.327580261E-1
3.295767250E0,9.138496399E0,-7.560178528E0,-5.888754272E-1
3.305784250E0,9.833201752E0,-7.763605499E0,-8.894503784E-1
3.315801250E0,1.051593201E1,-8.040230255E0,-1.086141357E0
3.325818250E0,1.109253296E1,-8.371491394E0,-1.098266144E0
3.335835250E0,1.163739990E1,-8.678203583E0,-1.031205597E0
3.345852250E0,1.222986786E1,-8.984317017E0,-9.705816650E-1
3.355869250E0,1.270213577E1,-9.210346985E0,-9.226812744E-1
3.365886250E0,1.296858170E1,-9.314380646E0,-8.680448914E-1
3.375904250E0,1.407552979E1,-1.011790970E1,-6.493496704E-1
3.385921250E0,1.419617889E1,-9.751920776E0,-3.832031250E-1
3.395938250E0,1.435125641E1,-9.317224731E0,-7.409591675E-2
3.405955250E0,1.449630478E1,-9.095835114E0,1.875599670E-1
3.415972250E0,1.427147232E1,-8.658145294E0,4.799020386E-1
3.425989250E0,1.434856201E1,-8.459658051E0,6.879693604E-1
3.436006250E0,1.484463043E1,-9.004524994E0,7.391629028E-1
3.446023250E0,1.450827988E1,-9.206455078E0,7.798782349E-1
3.456040250E0,1.376582382E1,-8.815617828E0,6.493496704E-1
3.466057250E0,1.294837372E1,-8.110284576E0,3.778143311E-1
3.476074250E0,1.221654556E1,-6.914870453E0,1.942959595E-1
3.486091250E0,1.206550964E1,-5.735622711E0,1.788780212E-1
3.496108250E0,1.255080048E1,-4.973707123E0,4.411326599E-1
3.506125250E0,1.361673386E1,-4.925357666E0,8.437953186E-1
3.516142250E0,1.483026031E1,-5.343138885E0,1.283730469E0
3.526159250E0,1.566552338E1,-5.961203613E0,1.611997833E0
3.536176250E0,1.611758331E1,-7.037016449E0,1.687291260E0
3.546193250E0,1.613988693E1,-8.449329529E0,1.670526123E0
3.556210250E0,1.578063400E1,-9.812544708E0,1.616638184E0
3.566227250E0,1.485705460E1,-1.082174606E1,1.371298370E0
3.576244250E0,1.442999268E1,-1.231863327E1,1.000220032E0
3.586262250E0,1.348096619E1,-1.310734314E1,3.787124634E-1
3.596279250E0,1.253478378E1,-1.342812607E1,-2.649490356E-1
3.606296250E0,1.192959229E1,-1.380564102E1,-1.047821045E0
3.616313250E0,1.117740646E1,-1.377555359E1,-1.774260406E0
3.626330250E0,1.059496765E1,-1.345462097E1,-2.330503693E0
3.636347250E0,1.015862503E1,-1.297950897E1,-2.801274719E0
3.646364250E0,9.545200653E0,-1.249361938E1,-3.182681580E0
3.656381250E0,8.994196472E0,-1.209963867E1,-3.610342255E0
