"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.408874978E-3,-1.920206909E0,6.514902191E0,5.886508942E0
1.242787496E-2,-2.080224152E0,6.689738617E0,5.774841156E0
2.244687499E-2,-2.145488434E0,6.783294067E0,5.801485748E0
3.246587497E-2,-2.152374115E0,6.783892822E0,5.910908203E0
4.248487495E-2,-1.939067688E0,6.865323486E0,6.180647278E0
5.250387499E-2,-1.774859161E0,6.805298309E0,6.480623474E0
6.252287497E-2,-2.037263489E0,6.666985931E0,6.741081848E0
7.254287496E-2,-1.999242554E0,6.788832550E0,7.286697235E0
8.256187500E-2,-2.275867310E0,6.917115784E0,7.426656189E0
9.258087497E-2,-2.095043335E0,6.973698120E0,7.690856781E0
1.025998750E-1,-1.544937286E0,6.982380066E0,7.121440887E0
1.126188750E-1,-2.701432343E0,7.645351410E0,6.793173523E0
1.226378750E-1,-2.531086578E0,7.399562531E0,6.675518188E0
1.326568750E-1,-2.213297424E0,7.274273071E0,6.796766052E0
1.426748750E-1,-2.765798492E0,7.971223755E0,7.371121674E0
1.526938750E-1,-3.197351074E0,8.110134888E0,7.611671448E0
1.627128750E-1,-2.744692383E0,7.629634094E0,7.759114838E0
1.727318750E-1,-2.210902405E0,7.339237976E0,7.860454102E0
1.827508750E-1,-1.750010834E0,7.160809021E0,7.948920135E0
1.927698750E-1,-1.178199921E0,6.869963837E0,7.971223755E0
2.027888750E-1,-8.000862122E-1,6.541247406E0,7.833809509E0
2.128078750E-1,-6.033952332E-1,6.347849579E0,7.537725220E0
2.228268750E-1,-4.718188477E-1,6.409371643E0,7.600145416E0
2.328458750E-1,-3.225791931E-1,6.323749695E0,7.940537567E0
2.428648750E-1,8.382568359E-2,5.863157501E0,8.463849335E0
2.528838750E-1,2.435435486E-1,5.514981537E0,9.149273987E0
2.629028750E-1,2.745291138E-1,5.518424377E0,9.755213928E0
2.729218750E-1,4.694238281E-1,5.629493408E0,9.704918518E0
2.829408750E-1,6.631210327E-1,5.406756592E0,9.872869263E0
2.929598750E-1,8.379574585E-1,5.430856476E0,1.022433838E1
3.029788750E-1,8.333171082E-1,5.558391266E0,1.061293030E1
3.129978750E-1,5.107379150E-1,5.324577484E0,1.087488556E1
3.230168750E-1,1.706451416E-1,4.923112335E0,1.123937759E1
3.330358750E-1,-1.275347900E-1,4.780908051E0,1.174233170E1
3.430538750E-1,-1.414558411E-1,4.838388519E0,1.219109848E1
3.530728750E-1,5.987548828E-3,4.862787781E0,1.227746887E1
3.630918750E-1,2.835104370E-1,4.955894165E0,1.182795364E1
3.731108750E-1,6.282435608E-1,4.964875488E0,1.123368942E1
3.831298750E-1,8.773255920E-1,4.901706848E0,1.047252228E1
3.931488750E-1,9.430389404E-1,4.767585754E0,9.645342407E0
4.031678750E-1,8.650511169E-1,4.766238556E0,8.957522736E0
4.131867500E-1,6.613247681E-1,4.716691589E0,8.482111359E0
4.232057500E-1,4.578977966E-1,4.589905243E0,8.329578552E0
4.332247500E-1,2.182461548E-1,4.519102478E0,8.433163147E0
4.432437500E-1,-5.733078003E-2,4.550686798E0,8.540789337E0
4.532627500E-1,-1.520837402E-1,4.601431274E0,8.487949219E0
4.632817500E-1,-2.050735474E-1,4.709955597E0,8.406967621E0
4.733007500E-1,-2.447410583E-1,4.915777588E0,8.322243805E0
4.833197500E-1,-2.130070496E-1,5.065017242E0,8.255482635E0
4.933387500E-1,1.122665405E-2,5.108726349E0,8.124055939E0
5.033577500E-1,2.650987244E-1,5.130131836E0,7.910300446E0
5.133767500E-1,3.933819580E-1,5.123994598E0,7.603588257E0
5.233957500E-1,4.523593140E-1,5.037923584E0,7.189848633E0
5.334137500E-1,3.872447205E-1,4.938530273E0,6.806495819E0
5.434327500E-1,2.365081787E-1,4.852908325E0,6.431375885E0
5.534517500E-1,1.356179810E-1,4.687053223E0,6.110742645E0
5.634707500E-1,-1.017883301E-2,4.595743103E0,5.941744080E0
5.734897500E-1,-1.526824951E-1,4.505331116E0,5.727838898E0
5.835087500E-1,-2.606080627E-1,4.398303680E0,5.515131226E0
