"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.093641667E-2,-2.773294449E-1,-1.294553757E0,2.305767089E-1
2.095441667E-2,-3.737011254E-1,-1.263012171E0,2.158632874E-1
3.097241667E-2,-4.275462329E-1,-1.171670079E0,1.526392996E-1
4.099041667E-2,-4.551840425E-1,-1.048882127E0,5.483377352E-2
5.100841667E-2,-4.644457102E-1,-9.285776019E-1,-3.943440318E-2
6.102641668E-2,-4.608601630E-1,-8.613789678E-1,-8.644744754E-2
7.104441668E-2,-4.316466153E-1,-8.514890671E-1,-8.049288392E-2
8.106241668E-2,-3.696101606E-1,-8.766893148E-1,-2.272801846E-2
9.108041668E-2,-2.818161249E-1,-9.170151949E-1,5.250601843E-2
1.010994167E-1,-1.585052460E-1,-9.593744874E-1,1.207173020E-1
1.111174167E-1,-1.300823502E-2,-9.704327583E-1,1.609374285E-1
1.211354167E-1,1.085932702E-1,-9.226132631E-1,1.715592444E-1
1.311534167E-1,1.748165041E-1,-8.636287451E-1,1.690497398E-1
1.411714167E-1,1.542358398E-1,-7.861145139E-1,1.471635699E-1
1.511894167E-1,8.828718960E-2,-6.921456456E-1,1.211540699E-1
1.612074167E-1,2.470844658E-3,-5.909246802E-1,9.644541144E-2
1.712254167E-1,-7.186943293E-2,-4.994967580E-1,6.391916424E-2
1.812434167E-1,-1.289708316E-1,-4.164512455E-1,4.806680977E-2
1.912614167E-1,-1.617631316E-1,-3.335981965E-1,3.740058467E-2
2.012794167E-1,-1.664844453E-1,-2.629550993E-1,2.730030566E-2
2.112974167E-1,-1.497131884E-1,-2.382516116E-1,1.777284779E-2
2.213154167E-1,-1.209097058E-1,-2.430757433E-1,2.453804947E-2
2.313334167E-1,-7.603650540E-2,-2.536080182E-1,4.448006675E-2
2.413514167E-1,-2.441462316E-2,-2.493274808E-1,6.622665375E-2
2.513694167E-1,1.626942307E-2,-2.335469127E-1,7.189571857E-2
2.613874167E-1,2.947643213E-2,-2.309948057E-1,5.749559030E-2
2.714054167E-1,2.496903203E-2,-2.256429195E-1,3.172551095E-2
2.814234167E-1,-2.355451696E-3,-2.121572793E-1,6.678235717E-3
2.914424167E-1,-4.221285507E-2,-1.943772137E-1,-1.049489249E-2
3.014604167E-1,-8.520931751E-2,-1.550428569E-1,-2.286420949E-2
3.114784167E-1,-1.239449978E-1,-1.018352956E-1,-2.456037700E-2
3.214964167E-1,-1.535161138E-1,-4.857896641E-2,-2.849294432E-2
3.315144167E-1,-1.706908494E-1,5.209432915E-3,-3.622676432E-2
3.415324167E-1,-1.592844874E-1,4.322761297E-2,-4.613240436E-2
3.515504167E-1,-1.150413901E-1,4.846258834E-2,-5.131624639E-2
3.615684167E-1,-4.795924574E-2,1.034446806E-2,-4.533182457E-2
3.715864167E-1,2.605585754E-2,-5.832860246E-2,-1.967200451E-2
3.816044167E-1,8.607298136E-2,-1.488135010E-1,4.164465237E-3
3.916224167E-1,1.200884730E-1,-2.121722251E-1,1.329271682E-2
4.016404167E-1,1.277274489E-1,-2.168007642E-1,1.134702284E-2
4.116584167E-1,1.110267714E-1,-1.957138479E-1,5.509107839E-3
4.216764167E-1,6.421350688E-2,-1.490560025E-1,-6.905081682E-3
4.316944167E-1,5.131817423E-3,-9.605695307E-2,-2.135805599E-2
4.417124167E-1,-5.229157582E-2,-5.543173850E-2,-3.124134615E-2
4.517304167E-1,-8.987623453E-2,-2.804805338E-2,-3.991286084E-2
4.617484167E-1,-9.780625999E-2,-3.379373252E-2,-4.108900204E-2
4.717674167E-1,-8.490431309E-2,-5.795685947E-2,-4.212737083E-2
4.817854167E-1,-5.342429876E-2,-8.353786916E-2,-3.917012736E-2
4.918034167E-1,-2.937861905E-2,-1.062208116E-1,-3.796344995E-2
5.018214167E-1,-1.101502031E-2,-1.264716238E-1,-4.047195613E-2
5.118394167E-1,-1.779444516E-3,-1.565182060E-1,-4.357054085E-2
5.218574167E-1,6.108243251E-4,-1.679461598E-1,-3.745670244E-2
5.318754167E-1,-1.125823008E-3,-1.613966525E-1,-3.287873045E-2
5.418934167E-1,-1.335370541E-2,-1.415580362E-1,-2.955782413E-2
5.519114167E-1,-2.726526000E-2,-9.920577705E-2,-2.585309930E-2
5.619294167E-1,-4.863641039E-2,-4.891120270E-2,-2.957894281E-2
5.719474167E-1,-6.178203970E-2,-5.068646744E-3,-3.024499863E-2
5.819654167E-1,-6.347244978E-2,1.216941327E-2,-3.404869512E-2
5.919834167E-1,-4.163239896E-2,-6.441821344E-3,-3.494191915E-2
6.020014167E-1,-8.981257677E-3,-4.966636002E-2,-3.070280328E-2
6.120194167E-1,1.687537320E-2,-9.306629747E-2,-2.226857282E-2
6.220374167E-1,3.144121915E-2,-1.320941001E-1,-1.147640962E-2
6.320554167E-1,2.669440210E-2,-1.591499448E-1,-6.698432378E-3
6.420734167E-1,1.401492022E-2,-1.635852307E-1,-1.535630599E-2
6.520924167E-1,-3.835982177E-3,-1.623457968E-1,-3.098293580E-2
6.621104167E-1,-2.150573395E-2,-1.312772036E-1,-4.104069993E-2
6.721284167E-1,-3.555311263E-2,-8.467213809E-2,-3.037101217E-2
6.821464167E-1,-4.235628247E-2,-3.087015450E-2,-9.861320257E-3
6.921644167E-1,-4.452995583E-2,2.452252805E-2,4.464888480E-3
7.021824167E-1,-3.826223686E-2,6.599543989E-2,4.975429270E-3
7.122004167E-1,-3.812561557E-2,7.034784555E-2,-7.974457927E-3
7.222184167E-1,-3.786589205E-2,4.804991558E-2,-2.018347755E-2
7.322364167E-1,-3.784671798E-2,1.222880185E-2,-2.484134585E-2
7.422544167E-1,-3.995414451E-2,-2.575941756E-2,-2.359649912E-2
7.522724167E-1,-3.721348569E-2,-4.051519185E-2,-1.990322769E-2
7.622904167E-1,-3.346636146E-2,-4.832918942E-2,-1.932045259E-2
7.723084167E-1,-3.321762010E-2,-6.508632749E-2,-1.009393204E-2
7.823264167E-1,-3.479189426E-2,-9.064994752E-2,3.190092975E-4
7.923444167E-1,-4.039065912E-2,-1.249647737E-1,1.031678263E-2
8.023624167E-1,-5.273532495E-2,-1.614105403E-1,1.019693352E-2
8.123804167E-1,-6.996916980E-2,-1.843680590E-1,1.138949767E-2
8.223984167E-1,-7.256297022E-2,-1.676881760E-1,7.439607754E-3
8.324174167E-1,-7.009554654E-2,-1.334156841E-1,-1.319989003E-2
8.424354167E-1,-6.693527848E-2,-1.210736632E-1,-3.553498536E-2
8.524534167E-1,-7.283497602E-2,-1.405349821E-1,-6.067975610E-2
8.624714167E-1,-7.744202763E-2,-1.909555197E-1,-7.287733257E-2
