"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.864500002E-3,-2.904500067E-1,-7.191135287E-1,-6.346154213E-2
1.388250000E-2,-3.589165509E-1,-6.969728470E-1,-1.172069386E-1
2.390050000E-2,-4.026392698E-1,-6.914920211E-1,-1.623184830E-1
3.391850000E-2,-4.371602237E-1,-7.119194865E-1,-1.863206625E-1
4.393650001E-2,-4.558292329E-1,-7.855982780E-1,-1.742634773E-1
5.395450001E-2,-4.557825625E-1,-8.915643692E-1,-1.397957355E-1
6.397250001E-2,-4.292508364E-1,-1.022511721E0,-8.839220554E-2
7.399050001E-2,-3.912469447E-1,-1.167528868E0,-2.631020546E-2
8.400850001E-2,-3.415438533E-1,-1.290405273E0,2.712599235E-5
9.402650000E-2,-2.727283835E-1,-1.383308172E0,-2.066671476E-2
1.040445000E-1,-2.171130478E-1,-1.440490246E0,-5.824684724E-2
1.140635000E-1,-1.822419912E-1,-1.435488343E0,-5.919186398E-2
1.240815000E-1,-2.320220619E-1,-1.489208102E0,1.885339152E-3
1.340995000E-1,-2.565317154E-1,-1.155045986E0,5.795209110E-2
1.441175000E-1,-2.720076144E-1,-9.324768186E-1,1.218306720E-1
1.541355000E-1,-2.801334858E-1,-7.977162600E-1,1.560305655E-1
1.641535000E-1,-2.832054496E-1,-6.824711561E-1,1.695788652E-1
1.741715000E-1,-2.976118028E-1,-7.072926164E-1,1.789372265E-1
1.841895000E-1,-3.222524524E-1,-8.292600513E-1,1.648749262E-1
1.942075000E-1,-3.560349047E-1,-9.917035699E-1,1.326416284E-1
2.042255000E-1,-3.938312829E-1,-1.148091555E0,9.319382161E-2
2.142435000E-1,-4.108999074E-1,-1.268404126E0,6.887795031E-2
2.242615000E-1,-4.143249989E-1,-1.351960301E0,7.057464868E-2
2.342795000E-1,-4.245582223E-1,-1.329101205E0,1.021437719E-1
2.442975000E-1,-4.190262854E-1,-1.213945866E0,1.494151503E-1
2.543155000E-1,-4.430209696E-1,-1.255033374E0,1.970821172E-1
2.643335000E-1,-4.696027935E-1,-1.221902370E0,2.118927538E-1
2.743515000E-1,-4.981223643E-1,-1.158218741E0,1.814521551E-1
2.843695000E-1,-5.200055838E-1,-1.087987423E0,1.237619594E-1
2.943875000E-1,-5.262777805E-1,-9.929102659E-1,5.841919407E-2
3.044055000E-1,-5.253315568E-1,-8.501943946E-1,2.103294060E-2
3.144235000E-1,-5.311112404E-1,-7.348119020E-1,3.488275688E-3
3.244415000E-1,-5.245651603E-1,-7.242556214E-1,5.891585024E-4
3.344595000E-1,-4.957217574E-1,-6.871713996E-1,4.122449458E-2
3.444775000E-1,-4.588500261E-1,-6.331483722E-1,1.100075543E-1
3.544955000E-1,-4.093011022E-1,-5.581882000E-1,1.809802651E-1
3.645135000E-1,-3.558889925E-1,-4.488411546E-1,2.241644859E-1
3.745315000E-1,-2.988842428E-1,-2.873398066E-1,2.247148305E-1
3.845495000E-1,-2.355614454E-1,-1.321890950E-1,1.985833496E-1
3.945675000E-1,-1.700381935E-1,-2.508521825E-2,1.629624963E-1
4.045855000E-1,-9.504330158E-2,4.407920688E-2,1.367801577E-1
4.146035000E-1,-2.413718030E-2,7.356349379E-2,1.258882433E-1
4.246215000E-1,5.444231629E-2,3.543874621E-2,1.348652393E-1
4.346395000E-1,1.329911500E-1,-1.535221841E-2,1.537385285E-1
4.446575000E-1,1.634270847E-1,1.629039645E-2,1.919929683E-1
4.546755000E-1,1.688149869E-1,-3.696582466E-2,2.280315459E-1
4.646935000E-1,1.390757412E-1,-2.572621964E-2,2.389166802E-1
4.747115000E-1,7.763370126E-2,4.578243941E-2,2.420012951E-1
4.847295000E-1,-5.493143573E-3,9.582270682E-2,2.304058969E-1
4.947475000E-1,-1.010924354E-1,8.542323112E-2,2.171921730E-1
5.047655000E-1,-1.877048314E-1,5.087350681E-2,2.003476769E-1
5.147835000E-1,-2.543211281E-1,5.428148434E-4,1.834910959E-1
5.248015000E-1,-2.913028300E-1,-5.319231749E-2,1.624372005E-1
5.348195000E-1,-2.958698571E-1,-9.705702960E-2,1.446944177E-1
5.448375000E-1,-2.613963187E-1,-1.222065836E-1,1.290904284E-1
5.548565000E-1,-2.007402033E-1,-8.706918359E-2,1.402585208E-1
5.648745000E-1,-1.378275454E-1,-2.614298090E-2,1.756018549E-1
5.748925000E-1,-5.788623914E-2,1.532866620E-3,2.107056677E-1
5.849105000E-1,1.366038062E-2,1.448781323E-2,2.085767388E-1
5.949285000E-1,6.167368963E-2,1.291216537E-2,1.690278649E-1
6.049465000E-1,6.721732765E-2,-7.138978690E-4,1.150154844E-1
6.149645000E-1,5.235787109E-2,-2.335431054E-3,8.283197135E-2
6.249825000E-1,2.970741875E-2,5.946733057E-3,8.066522330E-2
6.350005000E-1,2.295504324E-2,-1.453359611E-2,1.037153974E-1
6.450185000E-1,4.190742970E-2,-4.122485965E-2,1.284287274E-1
6.550365000E-1,8.400841802E-2,-7.634848356E-2,1.497112662E-1
6.650545000E-1,1.316331923E-1,-1.131919846E-1,1.668867916E-1
6.750725000E-1,1.672504097E-1,-1.315869242E-1,1.761648655E-1
6.850905000E-1,1.774085015E-1,-1.325403303E-1,1.649899781E-1
6.951085000E-1,1.658730805E-1,-1.205089092E-1,1.273026317E-1
7.051265000E-1,1.307907254E-1,-8.757945150E-2,8.874404430E-2
7.151445000E-1,9.430572391E-2,-4.027161747E-2,6.092735380E-2
7.251625000E-1,5.829499662E-2,1.471253950E-2,3.607606515E-2
7.351805000E-1,2.084085345E-2,5.339907482E-2,1.681010611E-2
7.451985000E-1,-1.353443135E-2,6.780677289E-2,6.277836394E-3
7.552165000E-1,-3.668453917E-2,4.045719653E-2,1.125392783E-2
7.652345000E-1,-2.748864330E-2,-1.752568036E-2,2.807711624E-2
7.752525000E-1,9.784681723E-3,-5.064104497E-2,4.865106940E-2
7.852705000E-1,6.083401665E-2,-4.861624166E-2,6.713314354E-2
7.952885000E-1,9.563317150E-2,-3.628434241E-2,7.637273520E-2
8.053065000E-1,1.002859771E-1,-3.002777882E-2,7.261554897E-2
