"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.160350000E-2,-2.602872550E-1,-1.460376531E-1,-7.219649106E-2
2.162150003E-2,-4.335659742E-1,-3.295803666E-1,-3.994355723E-2
3.163849999E-2,-5.988904834E-1,-4.947360158E-1,-4.330171738E-3
4.165650002E-2,-6.905691028E-1,-6.391978860E-1,1.893286780E-2
5.167449999E-2,-6.711168289E-1,-6.650598645E-1,1.619380713E-2
6.169150001E-2,-5.678827763E-1,-5.815417767E-1,-1.073400863E-2
7.170949999E-2,-4.535127878E-1,-4.290547371E-1,-6.205658615E-2
8.172750002E-2,-3.695688248E-1,-2.983231544E-1,-1.122492030E-1
9.174449998E-2,-3.419923186E-1,-2.042190433E-1,-1.751767695E-1
1.017625000E-1,-3.627874553E-1,-1.653522998E-1,-2.295254022E-1
1.117805000E-1,-4.088487029E-1,-1.833371520E-1,-2.580782175E-1
1.217975000E-1,-4.480746686E-1,-2.124791592E-1,-2.425931692E-1
1.318155000E-1,-4.605758190E-1,-2.800331712E-1,-1.409363151E-1
1.418335000E-1,-4.057350457E-1,-5.561760068E-1,3.296585381E-2
1.518505000E-1,-4.021983743E-1,-7.088726163E-1,1.479909718E-1
1.618685000E-1,-4.468472004E-1,-8.336765170E-1,1.892793626E-1
1.718855000E-1,-4.628136754E-1,-8.598732352E-1,1.741174459E-1
1.819035000E-1,-4.310251474E-1,-7.532137632E-1,1.332917064E-1
1.919215000E-1,-3.401612937E-1,-5.557499528E-1,9.749163687E-2
2.019385000E-1,-2.085526288E-1,-3.250190020E-1,6.331855059E-2
2.119565000E-1,-7.524649799E-2,-1.064906642E-1,4.298451915E-2
2.219745000E-1,5.050139874E-2,4.913821071E-2,4.417697340E-2
2.319915000E-1,1.386914551E-1,1.258420348E-1,7.058487833E-2
2.420095000E-1,1.617231667E-1,1.328202784E-1,1.020434648E-1
2.520275000E-1,1.144975945E-1,9.946577996E-2,1.198871806E-1
2.620445000E-1,2.405053377E-2,4.709162191E-2,1.398581713E-1
2.720625000E-1,-7.396630943E-2,-2.264138684E-2,1.514306813E-1
2.820801667E-1,-1.520209014E-1,-6.326596439E-2,1.517906338E-1
2.920971666E-1,-1.950682402E-1,-8.340105414E-2,1.440749168E-1
3.021151667E-1,-2.144448459E-1,-1.257611960E-1,1.233743876E-1
3.121321667E-1,-2.287375033E-1,-1.939727366E-1,1.016608402E-1
3.221501667E-1,-2.375730127E-1,-2.371873111E-1,7.434306294E-2
3.321681666E-1,-2.272828221E-1,-2.535183430E-1,5.163162947E-2
3.421851667E-1,-1.955757588E-1,-3.441635668E-1,2.132192813E-2
3.522031667E-1,-1.682653129E-1,-5.197212696E-1,-5.266361684E-2
3.622211667E-1,-1.677324325E-1,-5.437879562E-1,-1.152892858E-1
3.722381667E-1,-1.760276407E-1,-3.997926414E-1,-1.396481544E-1
3.822561667E-1,-1.548933387E-1,-2.707113624E-1,-1.560090184E-1
3.922741667E-1,-1.150114313E-1,-1.276599318E-1,-1.663197130E-1
4.022911667E-1,-6.627096236E-2,2.181037515E-2,-1.624899358E-1
4.123091667E-1,-2.123477682E-2,1.147072911E-1,-1.487368345E-1
4.223261666E-1,5.197923630E-3,1.142755896E-1,-1.139486879E-1
4.323441667E-1,1.742875576E-2,6.877415627E-2,-8.306960016E-2
4.423621667E-1,1.682204381E-2,7.688597776E-3,-5.018465221E-2
4.523791667E-1,1.895559719E-3,-1.850199327E-2,-2.267126925E-2
4.623971666E-1,-2.890265919E-2,-5.596975796E-3,-3.118233522E-3
4.724151667E-1,-5.004709587E-2,1.254474279E-2,1.155471895E-2
4.824321667E-1,-7.566221803E-2,2.777770162E-3,2.588356286E-2
4.924501667E-1,-9.269286692E-2,6.288882345E-3,4.248411208E-2
5.024681667E-1,-9.127473086E-2,1.228392310E-2,6.546772271E-2
5.124851667E-1,-9.210564196E-2,1.834021881E-2,1.003490090E-1
5.225031667E-1,-8.080498129E-2,2.667682245E-2,1.309229881E-1
5.325211667E-1,-6.254635006E-2,2.555989474E-2,1.436582208E-1
5.425381667E-1,-3.691507876E-2,3.272599727E-2,1.503510326E-1
5.525561667E-1,-1.154607628E-2,3.818361461E-2,1.459892988E-1
5.625731667E-1,4.460236523E-3,4.865601659E-2,1.408240497E-1
5.725911667E-1,9.525301866E-3,6.389489025E-2,1.394839585E-1
5.826091667E-1,7.854519412E-3,7.658399642E-2,1.388126165E-1
5.926261666E-1,4.051792435E-3,8.496843278E-2,1.274395883E-1
