"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.750124946E-3,-3.234009147E-1,-6.591871381E-1,1.293371022E-1
1.377212495E-2,-4.249419272E-1,-7.822585106E-1,8.171819896E-2
2.379412495E-2,-5.499707460E-1,-9.327409267E-1,4.738249630E-2
3.381612495E-2,-6.644467711E-1,-1.149324059E0,4.399335757E-2
4.383812496E-2,-7.552501559E-1,-1.330491543E0,5.210173875E-2
5.386012496E-2,-8.447371721E-1,-1.424496055E0,6.282176077E-2
6.388212496E-2,-9.160750508E-1,-1.490562558E0,1.071499214E-1
7.390412496E-2,-9.618806243E-1,-1.567512751E0,1.900258958E-1
8.392612496E-2,-9.924015403E-1,-1.591048360E0,2.744148076E-1
9.394812497E-2,-9.849124551E-1,-1.510212183E0,3.225101531E-1
1.039701250E-1,-8.909615278E-1,-1.305824637E0,3.493175805E-1
1.139921250E-1,-7.267851233E-1,-1.069511890E0,3.586314321E-1
1.240141250E-1,-5.315451026E-1,-8.769789338E-1,3.381860256E-1
1.340371250E-1,-3.735645413E-1,-7.438443303E-1,2.922227979E-1
1.440591250E-1,-2.888858914E-1,-6.168490052E-1,2.469656765E-1
1.540811250E-1,-2.666551769E-1,-4.331289530E-1,2.335593253E-1
1.641031250E-1,-2.583552003E-1,-1.953467876E-1,2.497227639E-1
1.741251250E-1,-2.268465459E-1,-5.351285450E-3,2.979374528E-1
1.841471250E-1,-2.007458359E-1,1.028723866E-1,3.847214878E-1
1.941691250E-1,-2.101350725E-1,2.322974950E-1,4.741549492E-1
2.041911250E-1,-2.011875659E-1,3.689919114E-1,6.113210917E-1
2.142131250E-1,-1.451525241E-1,4.743865132E-1,7.211211324E-1
2.242351249E-1,-4.654906318E-2,5.612747669E-1,7.510939837E-1
2.342571249E-1,8.454158157E-2,5.598494411E-1,7.001988888E-1
2.442791249E-1,2.326940745E-1,4.565624893E-1,5.915867090E-1
2.543011250E-1,3.535901308E-1,3.089138865E-1,4.738651514E-1
2.643231250E-1,3.998762965E-1,1.777831912E-1,3.264680207E-1
2.743451250E-1,3.607339561E-1,1.271620858E-2,1.673183292E-1
2.843671250E-1,2.539656460E-1,-1.332909614E-1,8.199471235E-2
2.943891250E-1,1.189764217E-1,-1.903731525E-1,1.055658162E-1
3.044111250E-1,5.840516184E-3,-1.858825535E-1,2.116104364E-1
3.144331250E-1,-6.480116397E-2,-1.782667190E-1,3.612721264E-1
3.244551250E-1,-9.366763383E-2,-1.662288904E-1,4.904816151E-1
3.344771250E-1,-1.025359556E-1,-1.347860098E-1,5.342938304E-1
3.444991250E-1,-1.025782898E-1,-1.105720177E-1,4.740427434E-1
3.545211250E-1,-1.111552715E-1,-1.326054186E-1,3.654246628E-1
3.645431250E-1,-1.144545749E-1,-2.064952850E-1,2.359456569E-1
3.745651250E-1,-1.223926619E-1,-2.634272873E-1,1.207444966E-1
3.845871250E-1,-1.238857135E-1,-2.425186038E-1,4.945498332E-2
3.946091250E-1,-1.100687012E-1,-2.408514619E-1,-1.601543394E-3
4.046311250E-1,-9.263490140E-2,-2.787332535E-1,-2.044552378E-2
4.146531250E-1,-9.597849846E-2,-3.033350110E-1,-1.822444797E-2
4.246751250E-1,-1.178480163E-1,-3.247087598E-1,-1.353242714E-2
4.346971250E-1,-1.397985965E-1,-3.384104669E-1,-1.028310414E-2
4.447191250E-1,-1.431710124E-1,-2.956032753E-1,2.254541498E-3
4.547411250E-1,-1.297193915E-1,-1.909620762E-1,1.128372271E-2
4.647631250E-1,-9.697937220E-2,-5.306729302E-2,-9.539597668E-3
4.747851250E-1,-6.851577759E-2,6.458237022E-2,-5.708714575E-2
4.848081250E-1,-5.823407322E-2,1.152961925E-1,-1.023517475E-1
4.948301250E-1,-5.637838319E-2,7.336071879E-2,-1.283428669E-1
5.048521250E-1,-5.989986286E-2,2.253764123E-2,-1.292510927E-1
5.148741250E-1,-5.438605323E-2,-5.248706788E-2,-1.190650389E-1
5.248961250E-1,-6.302630901E-2,-8.984459937E-2,-1.026439220E-1
5.349180000E-1,-9.298580885E-2,-6.450808048E-2,-9.969740361E-2
5.449400000E-1,-1.204249337E-1,-2.201738581E-2,-1.037050039E-1
5.549620000E-1,-1.150586680E-1,2.584068477E-2,-1.083551496E-1
5.649840000E-1,-8.006311208E-2,8.141674846E-2,-1.072561592E-1
