"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.744324999E-2,-2.042829059E-3,2.059544437E-3,-1.300978591E-3
2.746424999E-2,1.526637818E-3,-4.088311456E-3,2.997274976E-3
3.748624999E-2,5.604027683E-5,-7.628221065E-4,4.178387113E-3
4.750724998E-2,1.963111339E-3,-3.896664828E-3,2.375339391E-3
5.752924999E-2,-1.146868453E-4,1.564679667E-3,-5.650568055E-4
6.755024998E-2,2.414474147E-4,4.955250770E-4,-1.457005041E-3
7.757224998E-2,6.686184788E-4,-1.742606983E-4,-1.344791963E-4
8.759324998E-2,1.516901306E-3,-1.274308190E-3,3.626935650E-4
9.761524998E-2,1.578420284E-3,-2.798838541E-4,8.045120048E-4
1.076372500E-1,-1.037205802E-3,1.795692369E-4,-7.578175282E-4
1.176582500E-1,2.421767422E-4,-2.229525708E-3,-2.483548014E-4
1.276802500E-1,1.044324134E-3,1.094015315E-4,1.421561465E-3
1.377012500E-1,-1.138846055E-4,6.492240354E-4,2.517718356E-3
1.477232500E-1,-6.283920957E-4,5.189571530E-4,5.008125445E-4
1.577442500E-1,1.006788807E-3,-1.630214043E-3,-8.017395157E-4
1.677662500E-1,-2.157760784E-3,-1.379022375E-3,6.491766544E-4
1.777872500E-1,-1.178516541E-3,-6.503816694E-4,-1.642473391E-3
1.878092500E-1,2.837752982E-4,8.110189810E-4,8.189870277E-4
1.978302500E-1,2.733084606E-3,-4.148343578E-4,7.673216751E-4
2.078522500E-1,6.949056842E-5,9.468579665E-4,2.149016655E-5
2.178742500E-1,-1.391785918E-3,3.111613914E-4,-1.146705472E-6
2.278952500E-1,-8.681940380E-4,-4.907539114E-4,-1.224739011E-3
2.379172500E-1,-5.648600636E-4,1.500757411E-3,-4.321822489E-4
2.479382500E-1,-5.195507547E-4,1.840032637E-4,3.528720001E-3
2.579602500E-1,1.793670934E-3,-4.988312721E-4,5.534364609E-4
2.679812500E-1,-2.572793164E-4,2.288697287E-4,-4.740459262E-4
2.780032500E-1,-1.312423730E-3,-1.636940986E-3,1.376318396E-3
2.880242500E-1,2.760082250E-3,-6.417175755E-4,2.498798538E-3
2.980462500E-1,-2.189297666E-4,-2.146791667E-5,4.044886446E-4
3.080682500E-1,-1.316778216E-4,-2.775460482E-3,-3.911725653E-4
3.180892500E-1,1.973817358E-3,1.167882234E-3,-3.815851815E-4
3.281115416E-1,-2.811480081E-4,-2.126647159E-4,-1.056945999E-3
3.381325416E-1,2.198787406E-3,-1.267010346E-3,1.305544167E-3
3.481545416E-1,7.292552618E-4,1.999090426E-3,7.514202734E-4
3.581755416E-1,-3.533196868E-4,7.870858535E-4,3.014308168E-3
3.681975416E-1,-2.420465462E-3,2.264074981E-3,-1.562661142E-3
3.782185416E-1,9.239323554E-4,-7.170680910E-4,-3.594449954E-4
3.882405416E-1,8.962178836E-4,1.361972652E-3,5.777390907E-4
3.982625416E-1,-3.583972866E-4,-1.612512395E-3,-1.240933547E-3
4.082835417E-1,-1.360404189E-3,8.456166834E-4,-4.306323535E-4
4.183055416E-1,9.501339082E-5,-3.200490028E-4,1.699097571E-3
4.283265417E-1,-2.436814597E-3,2.000275999E-3,1.019928022E-3
4.383485417E-1,-4.397101002E-4,1.802137122E-3,1.207680907E-3
4.483695417E-1,-1.992346020E-3,1.250496134E-3,-7.965296973E-4
4.583915417E-1,3.959767928E-4,2.112295479E-3,1.656703971E-4
4.684125417E-1,8.110961644E-4,-2.584815025E-3,-3.745618160E-4
4.784345417E-1,-8.358026389E-4,-1.397578046E-3,1.900842879E-3
4.884565417E-1,-1.250605797E-3,-7.410030812E-4,2.293766884E-4
4.984775417E-1,-4.591144098E-4,-3.468552604E-4,-6.303840200E-5
5.084995417E-1,7.260419079E-4,-7.376633584E-4,-5.686483200E-5
5.185205417E-1,-1.809553709E-3,-6.894394755E-5,-1.910158549E-3
5.285425417E-1,-2.819591435E-3,3.382703289E-4,-2.361246850E-3
5.385635417E-1,2.265980933E-3,1.775578596E-3,-4.075519973E-4
5.485855417E-1,3.578812466E-4,-2.528290264E-3,1.109531149E-3
5.586065417E-1,2.330484567E-3,1.333026215E-3,6.450670480E-5
5.686285417E-1,-4.301659355E-4,1.245921478E-3,-1.603685552E-3
5.786505417E-1,1.504354295E-3,-2.527778037E-3,1.606488717E-3
5.886715417E-1,3.947732330E-4,1.939807087E-3,2.214265260E-4
5.986935417E-1,2.130887937E-3,-4.735495895E-4,1.889359701E-4
6.087145417E-1,-2.372772433E-3,1.162135042E-3,-1.652034698E-3
6.187365417E-1,-4.353227851E-4,-1.945774071E-3,1.460667932E-3
6.287575416E-1,-1.115265302E-3,-6.905738264E-4,-6.209122948E-4
6.387795417E-1,-1.086769509E-3,-1.165947877E-3,-6.320975372E-4
6.488005416E-1,5.115547174E-5,-1.380660571E-3,5.991676589E-4
6.588225416E-1,-7.579128142E-4,6.617177278E-4,-1.089010155E-3
6.688445417E-1,9.580203914E-4,-9.399047121E-4,6.056188140E-4
6.788655416E-1,1.683465438E-3,-4.948899150E-4,-7.238312392E-4
6.888875416E-1,5.602236342E-5,2.963421866E-4,-5.981069990E-4
6.989085416E-1,1.547925174E-3,-5.002086982E-4,-5.440447712E-4
7.089305416E-1,2.126705600E-3,4.081185907E-4,1.146650175E-3
7.189515416E-1,-2.191077452E-3,-6.973603740E-4,-8.334100130E-4
7.289735416E-1,-1.796580036E-3,7.030526176E-4,3.675472108E-4
7.389955416E-1,-2.821097849E-3,2.307340503E-3,-3.286043415E-3
7.490165416E-1,5.331077846E-4,-3.320304677E-4,-4.129139415E-4
7.590385416E-1,1.189044444E-3,1.295959577E-3,7.173316553E-4
7.690595416E-1,-1.529150992E-3,2.211528830E-3,-1.163872425E-3
7.790815416E-1,-1.464377565E-4,1.664869487E-4,-1.510882284E-3
7.891025416E-1,-1.378834480E-3,2.227058634E-3,-4.609041207E-4
7.991245416E-1,1.066213707E-3,2.078497782E-4,1.050706138E-3
8.091455416E-1,2.210488310E-3,1.347284764E-3,8.948611503E-5
