"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.242787496E-2,-5.512143970E-1,-9.944199771E-2,1.516787857E-1
2.244687499E-2,-6.499547958E-1,-2.409008592E-1,1.936049312E-1
3.246587497E-2,-7.146211863E-1,-3.929533958E-1,2.163805366E-1
4.248487495E-2,-7.251459956E-1,-5.024758577E-1,2.157256603E-1
5.250387499E-2,-6.855877042E-1,-4.907212555E-1,2.151621878E-1
6.252287497E-2,-5.799331665E-1,-4.548567235E-1,2.371284664E-1
7.254287496E-2,-3.897983134E-1,-2.735217512E-1,2.536454797E-1
8.256187500E-2,-2.215437889E-1,-1.562406570E-1,2.859887779E-1
9.258087497E-2,-1.774687469E-1,-1.625818163E-1,2.862754762E-1
1.025998750E-1,-3.193550408E-1,-4.369068742E-1,4.189570844E-1
1.126188750E-1,-4.816833138E-1,-6.018924713E-1,5.309279561E-1
1.226378750E-1,-6.020193100E-1,-7.089190483E-1,5.384026766E-1
1.326568750E-1,-6.022687554E-1,-6.820560694E-1,5.610424280E-1
1.426748750E-1,-4.915206730E-1,-5.311949253E-1,6.953568459E-1
1.526938750E-1,-3.352307677E-1,-3.398216367E-1,7.497333884E-1
1.627128750E-1,-1.938208938E-1,-1.258686036E-1,7.392517328E-1
1.727318750E-1,-8.934567124E-2,9.920306504E-2,7.132966518E-1
1.827508750E-1,-2.719867975E-2,1.785681993E-1,6.716035008E-1
1.927698750E-1,-5.740287155E-2,1.444250345E-1,6.046062112E-1
2.027888750E-1,-1.743723601E-1,-5.875531584E-3,5.449621081E-1
2.128078750E-1,-3.296450377E-1,-1.767970920E-1,5.043589473E-1
2.228268750E-1,-4.237979054E-1,-3.012996316E-1,4.772287905E-1
2.328458750E-1,-4.577615857E-1,-3.576738536E-1,4.289799929E-1
2.428648750E-1,-4.309810996E-1,-3.022875488E-1,3.504295051E-1
2.528838750E-1,-3.656743467E-1,-2.040169686E-1,3.015927672E-1
2.629028750E-1,-2.686066329E-1,-1.851155050E-2,2.696859539E-1
2.729218750E-1,-2.042438984E-1,8.807241172E-2,2.627750635E-1
2.829408750E-1,-1.909153163E-1,2.210003734E-1,2.260580510E-1
2.929598750E-1,-1.565252990E-1,3.713729382E-1,1.682792902E-1
3.029788750E-1,-1.462385803E-1,5.351677537E-1,1.110087931E-1
3.129978750E-1,-2.021275610E-1,5.812904239E-1,4.911781102E-2
3.230168750E-1,-2.901474535E-1,4.501914978E-1,1.864751987E-2
3.330358750E-1,-2.926211059E-1,2.657026350E-1,3.991318867E-2
3.430538750E-1,-1.522855610E-1,7.509169728E-2,9.490373731E-2
3.530728750E-1,6.963030994E-2,-3.404375911E-2,1.212113947E-1
3.630918750E-1,2.931355834E-1,-1.244045421E-1,1.147289947E-1
3.731108750E-1,4.441054463E-1,-1.219181344E-1,6.159314886E-2
3.831298750E-1,4.920535386E-1,-8.000876755E-2,-9.625639766E-3
3.931488750E-1,4.283294976E-1,-6.164730340E-2,-7.856721431E-2
4.031678750E-1,2.949072719E-1,-4.961727187E-2,-1.296831220E-1
4.131867500E-1,1.428259015E-1,-3.292975575E-2,-1.645150185E-1
4.232057500E-1,2.202518471E-2,-1.195443422E-2,-1.776492000E-1
4.332247500E-1,-5.195709690E-2,-1.886575110E-2,-1.590450406E-1
4.432437500E-1,-9.324274957E-2,-5.528314784E-2,-1.236156821E-1
4.532627500E-1,-1.139260605E-1,-1.054720432E-1,-7.991460711E-2
4.632817500E-1,-1.169498116E-1,-1.628453285E-1,-3.444458917E-2
4.733007500E-1,-9.996336699E-2,-2.249432504E-1,7.403919473E-3
4.833197500E-1,-5.658766627E-2,-2.733134627E-1,2.997207828E-2
4.933387500E-1,-2.024085261E-3,-3.008548617E-1,1.572712138E-2
5.033577500E-1,6.162253395E-2,-3.063239157E-1,-3.197488561E-2
5.133767500E-1,1.183943376E-1,-3.105735779E-1,-1.102713570E-1
5.233957500E-1,1.617577970E-1,-3.170477152E-1,-1.958552301E-1
5.334137500E-1,2.002002448E-1,-2.965276241E-1,-2.736336291E-1
5.434327500E-1,2.198546380E-1,-2.902138233E-1,-3.352096379E-1
5.534517500E-1,2.308240682E-1,-2.769872844E-1,-3.684904575E-1
5.634707500E-1,2.424391806E-1,-2.457268238E-1,-3.792038262E-1
5.734897500E-1,2.586993575E-1,-2.098447978E-1,-3.737633824E-1
5.835087500E-1,2.623369694E-1,-1.722177863E-1,-3.569670916E-1
5.935277500E-1,2.554793954E-1,-1.698073000E-1,-3.195446432E-1
6.035467500E-1,2.287599295E-1,-1.743780822E-1,-2.587209642E-1
